Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Intent;Keyword Difficulty Index
a bible verse about anger;20;0;0.33;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.00,0.66,0.66,0.66;;0
what bible verse talks about anger;20;0;0.03;0;0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.11,0.11,0.07,0.11;;0
what bible verse talks about being slow to anger;20;0;0.01;0;0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28;;0
what verse in the bible talks about anger;20;0;0.03;0;0.14,0.14,0.14,0.42,1.00,0.14,0.14,0.28,0.28,0.28,0.28,0.28;;0
which bible verse talks about anger;20;0;0.33;0;0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40;;0
which verse in the bible talks about anger;20;0;0.33;0;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;0
what does the bible say about anger verses;10;0;0.33;0;0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
what are some bible verses about anger;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
what bible verse talks about causing your brother anger;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
what bible verses talk about anger;0;0;0;0;1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00;;0
