Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Intent;Keyword Difficulty Index
what bible verse is best for anxiety;50;0;0.52;157;0.23,0.11,0.03,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03;1,0;18
a bible verse for anxiety;20;0.02;0.58;0;0.05,0.11,0.11,0.11,0.29,0.11,0.11,0.11,0.11,0.11,0.23,0.23;;0
a bible verse for stress and anxiety;20;0;0.45;0;1.00,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.00,0.28,0.28,0.28;;0
what are good bible verses for anxiety;20;0.02;0.54;0;0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.04,0.04,0.04;;0
what are some bible verses for anxiety;20;0.02;0.47;0;1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00;;0
what bible verse for anxiety;20;0;0.18;0;1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
what bible verse is good for anxiety;20;0.02;0.32;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00;;0
what bible verse to read for anxiety;20;0.17;0.42;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
what is a good bible verse for anxiety;20;0.02;0.38;0;0.22,0.22,0.22,0.00,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22;;0
what is the best bible verse for anxiety;20;0.02;0.36;0;0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;0
what is the best bible verse for anxiety and depression;20;0;0;0;0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.00,0.40,0.40,0.40;;0
a good bible verse for anxiety;10;0.01;0.35;0;0.66,0.66,0.66,0.00,0.00,0.66,0.66,0.66,0.00,0.00,0.66,0.00;;0
what is a bible verse for anxiety;10;0.01;0.33;0;1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00;;0
what are some good bible verses for anxiety;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
what are the best bible verses for anxiety;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
what bible verse is for anxiety;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
