Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Intent;Keyword Difficulty Index
a prayer for anxiety;390;0.17;0.41;103;0.81,0.66,0.66,0.66,0.66,1.00,0.81,0.54,0.54,0.66,0.66,0.54;1;22
a prayer for anxiety and stress;90;0.46;0.45;25000000;0.42,0.42,0.26,0.26,0.34,0.26,0.26,0.26,0.26,0.34,0.26,0.19;1;24
a prayer for stress and anxiety;90;0.46;0.45;141;0.64,0.64,0.41,0.41,0.41,0.52,0.41,0.41,0.41,0.64,0.41,0.29;1;29
a prayer for anxiety and depression;30;1.32;0.43;7610000;0.18,0.18,0.18,0.27,0.18,0.18,0.27,0.45,0.45,0.45,1.00,0.18;1;29
a prayer for depression and anxiety;30;1.32;0.43;4830000;0.18,0.27,0.45,0.18,0.18,0.18,0.18,0.63,0.81,0.63,1.00,0.18;1;21
a prayer for fear and anxiety;30;0.23;0.38;0;0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.52;;0
what is a good prayer for anxiety;30;4.02;0.31;0;0.11,0.11,0.23,0.11,0.11,0.29,0.23,0.17,0.11,0.11,0.11,0.11;;0
a catholic prayer for anxiety;20;0;0.18;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;0
a good prayer for anxiety;20;0.11;0.33;0;0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40;;0
a prayer for anxiety and fear;20;0.28;0.33;0;0.11,0.11,0.11,0.11,0.11,0.11,0.17,0.11,0.11,0.11,0.11,0.11;;0
a prayer for anxiety and peace;20;0;0.36;0;0.28,0.00,0.00,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28;;0
a prayer for anxiety and worry;20;0.28;0.33;0;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;0
a prayer for anxiety attacks;20;0;0.33;0;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;0
a prayer for anxiety in the bible;20;0;0.36;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
a prayer for calming anxiety;20;0;0.22;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;0
a prayer for worry and anxiety;20;0.28;0.33;0;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;0
how do i pray for fear and anxiety;20;0.17;0.45;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;0
how do i pray for stress and anxiety;20;0.04;0.29;0;0.18,0.18,0.18,0.18,0.18,0.18,0.00,0.18,0.18,0.18,0.18,0.18;;0
how do you pray for someone with anxiety;20;0;0.43;0;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;0
how to pray for anxiety;20;0.03;0.17;0;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;0
how to pray for anxiety and depression;20;0;0.5;0;0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22;;0
how to pray for anxiety relief;20;4.02;0.17;0;0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.19;;0
how to pray for fear and anxiety;20;0;0.57;0;0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01;;0
how to pray for someone with anxiety;20;0.2;0.32;0;0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22;;0
how to pray for stress and anxiety;20;0;0.52;0;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;0
is there a prayer for anxiety;20;0;0.33;0;0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22;;0
what is a powerful prayer for anxiety;20;0;0.46;0;0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14;;0
what is a prayer for anxiety;20;0.13;0.09;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
what is the best prayer for anxiety;20;0.55;0.27;0;0.21,0.14,0.14,0.14,0.14,0.28,0.35,0.14,0.14,0.14,0.14,0.14;;0
what saint do you pray to for anxiety;20;0;0.03;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;0
what saint to pray to for anxiety;20;0;0.33;0;0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22;;0
which saint do i pray to for anxiety;20;0;0.33;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
a prayer for anxiety and panic attacks;10;0;0;0;0.66,1.00,0.66,0.66,0.33,0.66,0.66,0.00,0.66,0.33,0.00,0.00;;0
how do you pray for anxiety;10;0;0;0;0.00,0.00,0.00,0.66,0.00,0.66,0.00,0.66,0.00,0.00,0.00,0.00;;0
a nurse's prayer for anxiety;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
a powerful prayer for anxiety;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
a prayer for anxiety catholic;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
a prayer for peace and anxiety;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
a prayer for relief of stress and anxiety;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
a prayer for someone with anxiety;0;0;0;0;1.00,0.00;;0
a prayer for stress & anxiety rebecca barlow jordon;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
a prayer for test anxiety;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
a prayer for the anxiety ridden christian;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
a prayer for those suffering with depression and anxiety;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
how do i pray for anxiety;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
how to pray for a child with anxiety;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
how to pray for anxiety healing;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
how to pray for healing of anxiety;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
how to pray to god for help with anxiety;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
how to prays for anxiety;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
