Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
bible ai;3600;0.9;0.12;126;0.13,0.24,0.10,0.24,0.24,0.16,0.44,0.44,1.00,0.36,0.36,0.36;0.3;6,9,21,36;1
bible chat;3600;0.41;0.13;130;0.35,0.54,0.44,0.44,0.66,0.35,0.35,0.54,0.54,0.44,0.29,0.29;0.2;9,36;1
ai bible;2900;0.9;0.12;101;0.08,0.24,0.10,0.13,0.16,0.13,0.24,1.00,0.54,0.16,0.24,0.19;0.2;6,9,13,20,21,36,52;1
bible memory;2400;1.28;0.02;105;0.15,0.13,0.15,0.36,0.19,0.03,0.03,0.10,0.36,0.29,0.19,0.19;0.05;6,9,21,36;2
bible memory app;2400;0.58;0.03;103;0.18,0.16,0.29,0.24,0.29,0.29,0.44,0.53,0.81,1.00,0.53,0.53;0.05;9,20,36;1
christian chat;2400;0.93;0.19;128;0.27,0.44,0.52,0.66,1.00,0.80,0.66,0.80,0.80,0.66,0.44,0.66;0.05;6,9,21,36;1
ai in the bible;1900;1.78;0.01;120;0.36,0.36,0.36,0.29,0.29,0.36,0.43,0.43,0.43,0.54,0.81,0.54;0.1;9,20,21,36,52;1
bible verses to memorize;1900;0.06;0.47;121;1.00,0.65,0.82,0.82,1.00,0.55,0.65,0.65,0.65,0.82,0.82,0.65;0.05;9,20,21,45,52;1
biblememory;1600;1.28;0.02;430000;0.10,0.10,0.20,0.36,0.36,0.05,0.08,0.80,0.80,1.00,0.66,0.66;0.05;6,9,13,20,36,37,38;2
bible chat app;1300;0.48;0.12;46500000;0.52,0.68,0.68,0.84,0.68,0.52,0.52,1.00,1.00,0.84,0.68,1.00;0.15;6,9,21,36,52;1
bible com app;1300;0.73;0.01;356000000;0.10,0.10,0.13,0.16,0.16,0.24,0.10,0.24,0.35,0.18,0.24,1.00;0.05;9,21,36;1,3
bible study app;1300;1.37;0.2;61300000;0.44,0.27,0.27,0.27,0.27,0.36,0.36,0.36,0.66,0.44,0.44,0.27;0.05;6,9,20,21,36,45,52;1
biblical ai;1300;0.9;0.12;126;1.00,0.24,0.44,0.20,0.55,0.55,0.44,0.24,0.24,0.44,0.65,0.20;0.35;6,9,13,20,21,36,52;1
memorising bible verses;1300;0.06;0.47;230000;0.00,0.00,0.82,1.00,0.65,0.65,0.03,0.24,0.65,0.65,0.02,0.03;0.05;6,9,20,21,36,52;1
memorize by heart;1300;0;0;34100000;0.24,0.30,0.41,0.66,0.79,0.16,0.10,0.30,1.00,0.79,0.79,0.79;0.05;6,9,20,21,36;2
memory verses;1300;0.02;0.31;87000000;0.41,0.54,0.54,0.79,0.54,0.36,0.66,0.66,0.66,0.66,0.54,0.79;0.05;9,36,52;1
bible memory verses;1000;0.21;0.41;21700000;0.62,0.81,0.62,0.55,0.62,0.62,0.45,0.62,0.62,0.62,0.62,0.62;0.05;6,9,13,20,36,37,52;1
christian ai;1000;1;0.22;1080000000;0.45,0.67,0.55,0.76,0.76,0.76,0.67,0.67,1.00,1.00,1.00,1.00;0.2;6,9,20,36;1
scriptures to memorize;1000;0.06;0.47;2670000;0.66,0.30,0.41,0.41,0.54,0.16,0.36,0.54,0.41,0.20,0.54,0.20;0.05;9,20,36,52;1
verses to memorize;1000;0.06;0.47;7650000;0.41,0.41,0.41,0.41,0.54,0.54,0.36,0.20,0.79,0.24,0.36,0.54;0.05;6,9,20,36,52;1
haven bible app;880;0.6;0.09;132;0.30,0.20,0.30,0.45,0.76,0.76,0.67,0.76,0.67,0.76,0.76,1.00;0.1;9,21,36,52;1
pray app;880;1.5;0.08;187;1.00,0.37,0.25,0.16,0.16,0.46,0.68,0.46,0.46,0.52,0.37,0.84;0.05;6,9,36,37;1
ai biblical;720;0.9;0.12;311000000;0.13,0.01,0.03,0.02,0.07,0.04,0.01,0.16,0.02,1.00,0.02,0.00;0.15;6,9,13,20,21,52;1
bible phrase finder;720;0.99;0.05;562000;0.04,0.00,0.00,0.00,0.00,0.00,0.05,0.30,0.41,0.79,1.00,0.79;0.05;9,20,36;1
haven bible chat;720;0.2;0.05;11600000;0.01,0.02,0.03,0.04,0.05,0.04,0.05,0.08,0.10,0.10,0.08,0.08;0.05;6,9,36,45;1
how do i memorize scripture;720;0.31;0.68;3430000;0.13,1.00,1.00,1.00,0.67,0.67,0.10,0.24,1.00,1.00,0.03,0.05;0.05;6,9,20,21,36,38,45,52;1
how to memorize bible verses;720;0.31;0.68;3700000;0.45,0.55,0.55,0.76,0.55,0.76,0.67,0.36,0.76,0.76,0.55,0.45;0.05;6,9,21,36,52;1
scripture type;720;1.02;0.03;111000000;0.30,0.30,0.36,0.30,0.30,0.24,0.16,0.24,0.30,0.30,0.16,0.41;0.05;1,6,9,13,20,36;2
scripture typer;720;1.02;0.03;101;0.34,0.24,0.30,0.30,0.24,0.16,0.20,0.20,0.30,0.34,0.24,0.20;0.05;6,9,20,36;2
bible verse application;590;1.23;0.27;132;0.20,0.55,0.76,0.45,0.76,0.67,0.08,0.55,0.10,1.00,0.16,0.08;0.05;9,13,21,36,52;1
biblechatcity;590;0;0.33;88;0.59,0.59,0.59,1.00,0.59,0.59,1.00,0.59,0.59,0.59,0.59,0.00;0.15;6,9,21,36;2
chat bible;590;0.41;0.13;562000000;0.10,0.54,0.41,0.30,0.66,0.05,0.07,0.07,0.24,0.16,0.20,0.13;0.2;9,36;1
good bible study apps;590;1.47;0.4;43700000;0.30,0.16,0.76,0.76,0.36,0.20,1.00,0.45,0.45,0.20,0.24,0.20;0.05;6,9,20,36,45,52;1
how do i memorize;590;0.37;0.04;29900000;0.13,0.55,0.45,1.00,0.67,0.30,0.10,0.10,0.76,0.76,0.76,0.13;0.05;6,9,11,20,21,36,38,45;1
learning scripture verses;590;0.48;0.15;94300000;0.17,0.72,0.59,0.59,1.00,0.59,0.17,0.72,0.88,0.72,0.72,0.48;0.05;9,21,36,52;1
memorizing scripture;590;0.62;0.87;1530000;0.67,0.67,0.55,0.30,0.36,0.45,0.45,0.45,0.45,0.67,0.55,0.45;0.05;6,9,20,36,45,52;1
scripture memorization;590;0.62;0.87;105;0.72,0.72,0.48,0.39,0.48,0.32,0.48,0.59,0.88,0.88,0.72,0.59;0.05;6,9,21,36,38,52;1
thebibleapp;590;0.98;0.19;212000;0.03,0.04,0.10,0.10,0.05,0.03,0.05,0.03,0.07,0.08,0.05,0.04;0.05;9,20,21,36;2
what scripture;590;0;0;364000000;0.36,0.36,0.45,0.45,0.45,0.45,0.45,0.55,0.55,0.55,0.55,0.45;0.05;1,9,21,36,52;1
and bible app for iphone;480;0.9;0.04;43300000;0.17,0.09,0.07,0.48,0.59,0.88,0.17,0.32,1.00,0.59,0.48,0.59;0.05;9,20,21,36,45,52;1
bible ai chat;480;1.21;0.23;60100000;1.00,0.81,0.81,0.66,0.81,0.44,0.29,0.54,0.81,0.81,0.81,0.66;0.45;6,9,36;1
bible chat ai;480;0.34;0.13;96;0.54,0.36,1.00,1.00,0.81,0.66,0.81,0.81,1.00,0.66,0.54,0.36;0.3;6,9,36;1
bible verse memorization;480;0.06;0.47;1270000;0.36,0.30,0.36,0.30,0.36,0.30,0.24,0.20,0.45,0.45,0.36,0.36;0.05;9,20,36,52;1
bible verses about memory;480;0.21;0.41;126;0.88,0.05,0.11,0.09,0.26,0.39,0.59,1.00,0.48,1.00,0.59,0.48;0.05;9,20,21,36,45,52;1
bible verses to remember;480;0.01;0.29;50300000;0.66,0.54,0.66,0.54,0.66,0.54,0.66,0.66,1.00,0.81,0.81,0.66;0.05;9,21,36,52;1
biblechat;480;0.41;0.13;126;0.29,0.81,0.67,0.81,0.05,0.54,0.67,0.54,1.00,0.81,0.44,0.29;0.1;6,9,13,20,36;2
biblegateway audio bible;480;0.95;0.02;24100000;0.06,0.30,0.30,0.10,0.24,0.16,0.30,1.00,0.24,0.24,0.16,0.24;0.05;6,9,36;2
biblegpt;480;1.4;0.01;13000;0.02,0.11,0.11,0.11,0.16,0.13,0.16,0.20,0.20,0.16,0.13,0.20;0.05;6,9,13,21,36;2
god online chat;480;0.47;0.19;147;0.19,0.29,0.23,0.67,1.00,0.67,0.19,0.15,1.00,0.67,0.54,0.67;0.05;9,36;1
