Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
pray;40500;0.72;0.37;119;0.54,0.54,0.36,0.54,0.44,0.44,0.29,0.29,0.36,0.44,0.54,0.36;0.05;6,9,20,21,36,43,52;1
prayers;40500;0.72;0.37;122;0.81,0.66,0.81,0.66,0.66,0.66,0.66,0.66,0.66,0.81,0.66,0.66;0.05;9,20,21,36,43,52;1
daily prayer;27100;0.29;0.27;105;0.81,0.81,0.81,0.66,1.00,0.66,0.54,0.54,0.66,0.66,0.66,0.66;0.05;5,9,20,21,36,43;1
praying;27100;0.72;0.37;115;0.24,0.24,0.24,0.20,0.20,0.10,0.16,0.16,0.20,0.24,0.16,0.16;0.05;5,6,9,20,21,36;1,3
p r a y e r;12100;0.72;0.37;104;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,1.00,0.66;0.05;9,20,21,36,52;1
live in pray;5400;0;0;1940;0.02,0.54,0.81,0.81,1.00,0.44,0.00,0.03,0.66,0.66,1.00,0.44;0.05;9,20,21,36,52;1
prayer booking;5400;0.39;0.99;46100000;0.00,0.44,0.54,0.81,1.00,0.81,0.00,0.03,0.23,0.81,1.00,0.00;0.05;6,9,20,21;1
pray definition;1900;4.02;0;131;0.54,0.29,0.29,0.23,0.19,0.12,0.29,0.16,0.19,0.16,0.19,0.23;0.05;9,21,36,38,52;1
pray meaning;1900;4.02;0;133;0.24,1.00,0.66,0.52,0.52,0.66,0.08,0.16,0.66,0.52,0.52,0.44;0.05;9,21,38,52;1
prayer app;1900;1.5;0.08;132;0.35,0.29,0.53,0.44,0.29,0.13,0.24,0.29,0.44,0.53,0.29,1.00;0.05;6,9,21,36;1
pray a;1600;0.83;0.3;122;0.44,0.65,0.65,1.00,0.82,0.44,0.55,0.55,0.34,0.34,0.34,0.44;0.05;9,20,36,52;1
prays;1600;1.95;0;461000000;0.08,0.07,0.12,0.12,0.16,0.12,0.16,0.35,0.29,0.29,0.19,0.23;0.05;0,5,6,9,13,36,43;1
daily prayer app;1300;1.13;0.14;135;0.54,1.00,0.54,0.79,0.30,0.20,0.54,0.36,0.36,0.36,0.30,0.79;0.05;9,21,52;1
dailyprayer us;1300;0.49;0.12;9520000;0.65,0.82,0.00,0.00,0.00,0.65,0.65,0.65,0.55,0.65,0.44,0.55;0.05;6,9,36;2
praybook;1000;0.39;0.99;55400;0.00,0.81,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;0.1;6,9,13,36,52;1
prayer apps;1000;1.5;0.08;126;0.13,0.20,0.41,0.20,0.30,0.66,0.41,0.36,0.20,0.07,1.00,1.00;0.05;6,9,21,36,52;1,0
christian prayer app;880;2.18;0.02;96800000;0.08,0.10,1.00,0.24,0.30,0.13,0.16,0.20,0.66,0.30,0.41,0.54;0.05;9,36,52;1
james earl jones reads the bible;880;0.95;0.82;151;0.10,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.06,0.08,0.05,0.06;0.05;6,9,20,21,36,38,52;1
pray app;880;1.5;0.08;187;1.00,0.37,0.25,0.16,0.16,0.46,0.68,0.46,0.46,0.52,0.37,0.84;0.05;6,9,36,37;1
prayers booking;880;0.39;0.99;36200000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;0.05;6,9,13,21,36,52;1
online prayer;720;1.5;0.61;131;1.00,0.16,0.13,0.16,0.13,0.20,0.20,0.16,0.20,0.13,0.13,0.24;0.05;9,20,36,52;1
free prayer apps;590;1.43;0.37;126;0.46,0.25,1.00,0.31,0.16,0.20,0.20,0.25,0.31,0.25,0.20,0.20;0.05;6,9,20,21,36,52;1
