Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
bible anger scriptures;4400;0.01;0.18;127;0.02,1.00,1.00,1.00,1.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00;0.7;9,15,20,21,36,38,51,52;1
anger in the bible;3600;0.01;0.18;117;1.00,0.44,0.29,0.19,0.35,0.29,0.66,0.44,0.35,0.54,0.19,0.44;0.25;9,15,21,36,51,52;1
what does the bible say about anger;2900;0.02;0.19;151;1.00,0.80,1.00,0.80,0.80,0.66,1.00,0.80,0.80,0.66,0.80,0.66;0.4;9,21,36,45,52;1
scriptures on anger;1900;0.02;0.23;15100000;0.36,0.80,0.66,0.52,0.52,0.52,0.44,0.52,0.52,0.44,0.52,0.24;0.45;9,21,36,45,52;1
verse about anger;1900;0.01;0.18;131;0.43,0.43,0.54,0.36,0.43,0.29,0.36,0.43,0.65,0.81,0.43,0.43;0.7;9,21,36,45,52;1
anger bible scriptures;1600;0.01;0.18;10200000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.81,1.00,0.00,0.03;0.7;6,9,20,21,36,52;1
bible verse about anger;1300;0.01;0.13;23400000;0.29,0.29,0.22,0.22,0.29,0.29,0.10,0.29,0.36,0.29,0.22,0.22;0.45;6,9,36,52;1
bible verses on anger;1300;0.01;0.18;17800000;0.35,0.18,0.16,0.16,0.16,0.18,0.13,0.24,0.53,0.18,0.18,0.44;0.6;6,9,36,52;1
be slow to anger bible verse;1000;3.81;0;4240000;0.62,0.55,0.81,0.62,0.55,0.62,0.81,0.81,0.81,0.62,0.55,0.55;0.05;6,9,15,20,36,51,52;1
verses about anger;1000;0.01;0.21;145;0.16,0.41,0.13,0.66,0.41,0.30,0.66,0.54,0.41,0.54,0.41,0.30;0.65;9,36,52;1
what does god say about anger;1000;0.02;0.19;204000000;0.44,0.44,0.44,0.30,0.44,0.34,0.24,0.30,0.34,0.24,0.24,0.20;0.25;9,20,36,38,52;1
