Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
scriptures on anger;1900;0.02;0.23;15100000;0.36,0.80,0.66,0.52,0.52,0.52,0.44,0.52,0.52,0.44,0.52,0.24;0.05;9,21,36,45,52;1
bible verse about anger;1300;0.01;0.13;23400000;0.29,0.29,0.22,0.22,0.29,0.29,0.10,0.29,0.36,0.29,0.22,0.22;0.1;6,9,36,52;1
bible verses on anger;1300;0.01;0.18;17800000;0.35,0.18,0.16,0.16,0.16,0.18,0.13,0.24,0.53,0.18,0.18,0.44;0.05;6,9,36,52;1
arguing with a fool;1000;0;0;12000000;0.30,0.34,0.30,0.24,0.24,0.20,0.24,0.55,0.65,0.65,0.44,0.44;0.05;6,9,13,20,36,52;1
anger bible verse;880;0.01;0.18;16300000;0.03,0.20,0.20,0.20,0.27,0.20,0.20,0.27,0.66,0.24,0.27,0.24;0.05;9,21,36,45,52;1
bible quotes about marriage problems;880;0.03;0.26;157;0.20,0.08,0.06,1.00,0.81,1.00,0.06,0.30,1.00,0.81,1.00,0.62;0.05;6,9,36,45,52;1
bible verses for anger;880;0.01;0.18;149;0.10,0.24,0.30,1.00,0.16,0.36,0.24,0.41,0.54,0.36,0.30,0.41;0.05;9,36,52;1
bible verses on marriage problems;880;0.03;0.26;7000000;0.76,0.55,0.67,0.67,0.67,0.67,0.67,0.67,0.76,0.76,0.76,0.67;0.1;6,9,13,20,36,45,52;1
don't argue with a fool;880;0;0;111;0.24,0.16,0.16,0.24,1.00,0.30,0.65,0.11,0.24,0.24,0.16,0.16;0.05;6,9,13,36,38,52;1
argue with fool;720;0;0;17800000;0.07,0.00,0.00,0.20,0.24,0.20,0.05,0.30,0.66,0.54,0.66,0.54;0.1;6,9,13,20,21,36,52;1
bible verse for anger;720;0.01;0.18;21700000;0.07,0.08,0.03,0.07,0.20,0.36,0.13,0.65,0.13,0.16,0.08,0.08;0.1;6,9,20,36,52;1
bible verses about trouble in relationships;720;0.01;0.07;21100000;0.13,1.00,1.00,0.45,0.67,0.45,0.13,0.45,0.76,0.55,0.55,0.36;0.05;6,9,20,21,36,45,52;1
arguing with a fool quote;590;0;0;3700000;0.72,0.48,0.48,0.48,0.39,0.39,0.59,0.72,0.88,0.72,0.39,0.39;0.1;6,9,13,21,36,52;1
quote about arguing with a fool;590;0;0;104;0.55,0.45,0.36,0.36,0.30,0.30,0.36,0.55,0.67,0.45,0.36,0.30;0.05;5,6,9,13,36,52;1
scripture on anger;590;0.02;0.23;20200000;0.30,0.36,0.36,0.30,0.55,0.55,0.36,0.45,0.55,0.55,0.45,0.36;0.1;9,20,21,36,52;1
anger scriptures;480;0.02;0.23;16000000;0.08,0.20,0.36,0.45,0.30,0.24,0.36,0.24,0.36,0.30,0.45,0.30;0.05;6,9,20,21,36,45,52;1
angry bible verse;480;0;0;19400000;1.00,0.44,0.66,0.66,0.54,0.54,0.66,0.54,1.00,0.81,0.54,0.01;0.05;6,9,20,36,52;1
arguing with fools;480;0;0;5760000;0.24,0.45,0.30,0.20,0.30,0.10,0.13,0.55,0.76,0.36,0.24,0.36;0.05;9,13,20,36,52;1
bible verse don't argue with a fool;480;0;0;722000;0.13,0.16,0.00,0.30,0.36,0.36,0.36,0.24,1.00,0.36,0.36,0.36;0.1;6,9,13,36,38,45,52;1
bible verse on anger;480;0.01;0.18;19800000;0.13,0.34,0.44,0.05,0.07,0.08,0.08,0.13,0.16,0.30,0.11,0.08;0.1;6,9,36,51,52;1
bible verses about fighting;480;0.01;0.04;44400000;0.54,0.54,0.67,0.81,0.81,0.67,0.15,0.81,0.67,0.54,0.15,0.12;0.05;9,36;1
bible verses for hurting wife;480;0.02;0.04;14500000;0.66,0.66,0.66,0.66,0.66,0.54,0.81,1.00,1.00,0.81,0.66,0.66;0.05;6,9,36,45,52;1
don't argue with a fool bible verse;480;0;0;171;0.20,0.20,0.30,0.30,0.30,0.36,0.36,0.24,1.00,0.55,0.36,0.36;0.1;6,9,21,36,52;1
don't argue with fools bible verse;480;0;0;467000;0.13,0.36,0.30,0.30,0.36,0.36,0.36,0.24,1.00,0.36,0.30,0.36;0.1;6,9,13,21,36,38,52;1
dont argue with a fool;480;0;0;117;0.13,0.10,0.20,0.16,0.13,0.16,0.20,0.24,0.36,0.05,0.20,0.20;0.05;6,9,13,20,36,38,52;1
scriptures about anger;480;0.02;0.23;14800000;0.44,0.13,0.11,0.20,0.01,0.02,0.20,0.24,0.20,0.24,0.16,0.11;0.05;6,9,21,36,45,52;1
arguing with a fool proves there are two;390;0;0;104;0.08,0.08,0.13,0.08,0.10,0.08,0.08,0.36,0.30,1.00,0.67,0.36;0.05;5,6,9,20,21,36,38,52;1
bible quote about loving everyone;390;1.48;0.05;100;0.44,0.54,0.36,0.81,0.23,0.66,1.00,0.23,0.54,0.44,0.36,0.36;0.05;6,9,21,36,45,52;1
bible quotes on fighting;390;0.01;0.04;66100000;0.10,0.04,0.29,0.67,1.00,0.01,0.00,0.19,1.00,0.67,0.54,0.54;0.05;5,9,13,20,36,45,52;1
bible verse for marriage struggles;390;0.02;0.37;5580000;0.19,0.36,0.23,0.54,0.67,0.67,0.19,0.19,0.54,0.67,0.54,0.54;0.05;6,9,21,36,45,52;1
bible verses about resentment;390;0.01;0.03;188;1.00,0.81,0.44,0.66,0.66,0.66,0.66,0.66,0.66,0.54,0.66,0.54;0.05;9,21,36,45,52;1
bible verses marriage problems;390;0.03;0.26;8960000;0.16,0.13,0.10,0.08,0.10,0.20,0.06,0.13,1.00,0.55,0.05,0.05;0.05;9,36,45,52;1
bible verses on struggling marriages;390;0.02;0.37;9280000;0.19,0.36,0.23,0.54,0.67,0.67,0.19,0.19,0.54,0.67,0.54,0.54;0.05;6,9,13,20,36,52;1
scriptures on fighting;390;0.01;0.04;127;0.66,0.15,0.66,0.66,0.66,0.36,0.54,0.66,0.81,0.66,0.54,0.66;0.05;9,21,36,52;1
scriptures on marriage problems;390;0.03;0.26;8830000;0.55,0.03,0.16,0.02,0.55,0.10,0.08,0.13,1.00,0.04,0.04,0.03;0.05;9,13,36,45,52;1
what does the bible say about fighting;390;0.01;0.01;174;0.81,0.66,0.54,0.54,0.54,0.54,0.54,0.44,0.54,0.54,0.44,0.54;0.15;9,13,36,52;1
bible quotes for troubled marriage;320;0.02;0.37;155;0.23,0.44,0.29,0.66,0.81,0.19,0.12,0.23,0.66,0.81,0.04,0.19;0.1;5,6,9,13,36,52;1
bible scriptures about fighting;320;0.01;0.04;188;0.00,0.15,0.67,0.67,1.00,0.67,0.00,0.19,0.23,0.67,0.03,0.12;0.05;9,20,36,52;1
bible verses about conflict;320;0.01;0.02;13100000;0.66,0.66,0.66,0.81,0.66,0.66,0.66,0.54,0.81,1.00,0.66,0.14;0.05;9,13,21,36,45,52;1
bible verses anger;320;0.01;0.18;13200000;0.30,0.10,0.03,0.02,0.30,0.16,0.03,0.20,0.03,0.36,0.02,0.03;0.05;6,9,13,21,36,38,45,52;1
do not argue with a fool;320;0;0;119;0.10,0.10,0.13,0.10,0.10,0.08,0.13,0.10,0.20,0.13,0.13,0.10;0.05;6,9,13,36,38,52;1
quotes about arguments with fools;320;0;0;122;0.19,0.29,0.12,0.15,0.36,0.36,0.15,0.19,1.00,0.54,0.54,0.44;0.05;6,9,13,36,52;1
scripture about marriage trouble;320;0.02;0.37;40100000;0.19,0.12,0.05,0.54,0.67,0.67,0.19,0.23,0.54,0.67,0.03,0.15;0.05;9,20,21,36,45,52;1
scripture for marriage problems;320;0.03;0.26;9590000;0.20,0.55,0.24,0.24,0.45,0.20,0.24,0.45,0.30,0.16,0.13,0.13;0.05;9,20,21,36,52;1
verse anger;320;0.01;0.13;128;0.00,0.06,0.00,0.00,0.13,1.00,0.06,0.45,0.81,0.08,0.06,0.06;0.05;9,20,36,38,52;1
verses about anger in the bible;320;0.01;0.18;15700000;0.00,0.08,0.04,0.05,0.04,0.24,0.03,0.04,0.07,0.07,0.20,0.34;0.1;6,9,20,36,52;1
verses about fighting;320;0.01;0.04;128;0.54,0.19,1.00,0.81,0.54,0.29,0.09,0.36,0.29,0.44,0.36,0.36;0.05;9,36,52;1
what does the bible say about arguing;320;0.01;0.02;129;0.66,0.81,0.66,0.66,0.43,0.66,0.81,0.66,0.81,0.81,0.66,0.66;0.35;6,9,21,36,52;1
