Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
24/18;3600;0;0;45600000;0.24,0.43,0.43,0.81,0.66,0.66,0.66,0.54,1.00,0.43,0.66,0.28;0.05;0,9,36;1
bible verses about fighting;480;0.01;0.04;44400000;0.54,0.54,0.67,0.81,0.81,0.67,0.15,0.81,0.67,0.54,0.15,0.12;0.05;9,36;1
bible quotes on fighting;390;0.01;0.04;66100000;0.10,0.04,0.29,0.67,1.00,0.01,0.00,0.19,1.00,0.67,0.54,0.54;0.05;5,9,13,20,36,45,52;1
scriptures on fighting;390;0.01;0.04;127;0.66,0.15,0.66,0.66,0.66,0.36,0.54,0.66,0.81,0.66,0.54,0.66;0.05;9,21,36,52;1
what does the bible say about fighting;390;0.01;0.01;174;0.81,0.66,0.54,0.54,0.54,0.54,0.54,0.44,0.54,0.54,0.44,0.54;0.15;9,13,36,52;1
bible scriptures about fighting;320;0.01;0.04;188;0.00,0.15,0.67,0.67,1.00,0.67,0.00,0.19,0.23,0.67,0.03,0.12;0.05;9,20,36,52;1
bible verses about conflict;320;0.01;0.02;13100000;0.66,0.66,0.66,0.81,0.66,0.66,0.66,0.54,0.81,1.00,0.66,0.14;0.25;9,13,21,36,45,52;1
biblical conflict resolution;320;4.01;0.07;23600000;0.66,0.44,0.35,0.28,0.66,0.23,0.81,0.81,0.66,0.81,0.54,0.44;0.3;9,21,36,45,52;1
verses about fighting;320;0.01;0.04;128;0.54,0.19,1.00,0.81,0.54,0.29,0.09,0.36,0.29,0.44,0.36,0.36;0.05;9,36,52;1
what does the bible say about arguing;320;0.01;0.02;129;0.66,0.81,0.66,0.66,0.43,0.66,0.81,0.66,0.81,0.81,0.66,0.66;0.1;6,9,21,36,52;1
7 biblical ways to resolve conflict in marriage;260;0.61;0.14;143;1.00,1.00,1.00,1.00,0.80,0.80,0.80,0.80,1.00,0.80,1.00,1.00;0.05;6,9,21,36,52;1
bible verse about fighting;260;0.01;0.04;63300000;0.23,0.54,0.81,0.28,0.35,0.35,0.35,0.44,0.54,0.23,0.23,1.00;0.1;9,13,20,21,36,45,52;1
bible verse about husband and wife fighting;210;0;0.02;16000000;0.44,0.36,0.36,0.36,0.36,0.29,0.29,0.23,0.29,0.23,0.23,0.19;0.05;6,9,36,52;1
bible verses about arguing;210;0.01;0.01;4300000;0.81,0.66,0.81,0.81,0.66,0.22,0.18,0.22,0.22,0.22,0.14,0.18;0.05;6,9,13,20,21,36,45,52;1
bible verses about resolving conflict;210;4.02;0.04;711000;0.43,0.53,0.53,0.35,0.53,0.66,0.66,0.43,0.53,1.00,0.43,0.43;0.65;9,36,52;1
conflict resolution in marriage;210;1.68;0.61;67900000;1.00,0.82,0.66,0.66,0.53,0.66,0.53,0.53,0.35,0.43,0.43,0.35;0.1;9,13,20,36,45,52;1
conflict resolution in the bible;210;4.01;0.07;153;0.66,0.43,0.53,0.35,0.66,0.28,0.66,0.66,0.53,1.00,0.43,0.43;0.5;9,20,21,36,45,52;1
scripture about fighting;210;0.01;0.04;129;0.17,0.72,0.14,0.14,0.21,0.21,0.14,0.14,0.21,0.17,0.17,0.17;0.05;6,9,36,52;1
scripture on arguing;210;0.01;0.01;6820000;0.53,0.53,0.43,0.35,0.53,0.35,1.00,0.35,0.66,0.43,0.35,0.53;0.05;6,9,13,36,52;1
bible quotes about fighting;170;0.01;0.04;129;0.18,0.22,0.14,0.43,1.00,0.06,0.35,0.18,0.35,0.66,0.35,0.43;0.1;9,36,52;1
bible verses about family conflict;170;0.01;0.16;10100000;0.80,0.42,0.42,0.53,0.53,0.53,1.00,0.65,0.80,0.65,0.80,0.80;0.05;9,36,52;1
