Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
bible quotation for forgiveness;18100;0.01;0.18;131;0.00,0.44,0.81,1.00,0.54,0.24,0.00,0.03,0.36,0.67,0.81,0.67;0.3;9,20,21,36,51,52;1
forgiveness in the bible;14800;0.01;0.25;122;0.54,0.81,0.66,0.54,0.66,0.54,0.36,0.54,0.81,0.66,0.81,0.66;0.3;6,9,20,21,36,52;1
bible verses about forgiveness;9900;0.01;0.18;131;0.66,0.66,0.66,0.54,0.54,0.44,0.44,0.44,0.54,0.36,0.66,0.54;0.4;9,21,36,52;1
forgiveness chapters in the bible;8100;0.01;0.18;154;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.44,0.81,1.00,0.81;0.25;6,9,15,20,21,36,51,52;1
bible verse about forgiveness;6600;0.01;0.18;135;0.54,0.54,0.54,0.44,0.66,0.44,0.44,0.29,0.66,0.54,0.36,0.29;0.3;9,21,36,38,52;1
what does the bible say about forgiveness;5400;0.01;0.21;132;0.81,0.81,0.66,0.66,0.81,0.54,0.66,0.66,1.00,0.81,0.54,0.66;0.2;9,21,36,38,52;1
forgiveness bible verses;4400;0.01;0.18;133;0.66,0.54,0.54,0.44,0.44,0.36,0.36,0.54,0.44,0.44,0.29,0.24;0.45;9,21,52;1
scriptures on forgiveness;4400;0.01;0.25;129;0.29,0.29,0.29,0.36,0.29,0.24,0.24,0.24,0.24,0.29,0.44,0.36;0.3;9,20,21,36,52;1
forgiveness scriptures;3600;0.01;0.25;131;0.66,0.16,0.16,0.19,0.19,0.16,0.16,0.36,0.24,0.19,0.10,0.12;0.3;9,20,21,36,52;1
scripture on forgiveness;3600;0.01;0.25;128;0.16,0.24,0.16,0.16,0.16,0.19,0.16,0.19,0.24,0.19,0.08,0.19;0.3;6,9,20,21,36,52;1
bible verse of forgiveness to others;2900;0.01;0.22;155;0.03,0.00,1.00,1.00,0.36,0.54,0.00,0.04,0.54,0.81,0.66,0.54;0.35;9,21,36,45,52;1
bible verses on forgiveness;2900;0.01;0.18;132;0.29,0.44,0.35,0.54,0.29,0.23,0.29,0.35,0.35,0.35,0.35,0.44;0.3;9,21,36,38,52;1
verses about forgiveness;2900;0.01;0.19;130;0.44,0.44,0.66,0.44,0.35,0.35,0.53,0.53,1.00,0.44,0.66,0.53;0.35;9,21,36,52;1
what does god say about forgiveness;2400;0.01;0.21;211;1.00,0.28,0.24,0.28,0.19,0.66,0.24,0.24,0.28,0.43,0.28,0.19;0.1;9,21,36,45,52;1
bible forgiveness;1900;0.01;0.25;124;0.29,0.08,0.12,0.06,0.16,0.04,0.16,0.10,0.19,0.03,0.05,0.10;0.15;9,20,21,36,43,52;1
bible verse on forgiveness;1900;0.01;0.18;25800000;0.29,0.35,0.35,0.44,0.35,0.35,0.44,0.35,0.53,0.53,0.29,0.29;0.2;9,15,21,36,45,52;1
scripture about forgiveness;1900;0.01;0.25;114000000;0.35,0.19,0.23,0.29,0.23,0.23,0.44,0.16,0.23,0.16,0.23,0.16;0.3;6,9,21,36,45,52;1
scriptures about forgiveness;1900;0.01;0.25;129000000;1.00,0.81,0.65,0.43,0.22,0.22,0.54,0.10,0.43,0.36,0.29,0.16;0.3;9,21,36,52;1
what the bible says about forgiveness;1900;0.01;0.21;170;0.19,0.10,0.24,0.19,0.28,0.36,0.28,0.24,0.28,0.54,0.24,0.24;0.25;9,21,36,38,52;1
bible quotes about forgiveness;1600;0.01;0.13;17300000;0.44,0.36,0.36,0.52,0.52,0.36,0.44,0.44,0.66,0.36,0.36,0.20;0.35;6,9,21,36,38,45,52;1
bible verses of forgiving others;1600;0.01;0.22;3840000;0.00,0.00,0.00,1.00,0.36,0.54,0.00,0.00,0.00,0.00,0.66,0.54;0.1;9,36,38,52;1
love short bible verses;1600;0.02;0.72;71600000;0.07,0.36,0.07,0.81,0.54,0.54,1.00,0.20,0.02,0.54,0.03,0.03;0.05;6,9,20,21,36,45,52;1
verses about forgiving others;1600;0.01;0.22;132;0.81,0.43,0.54,0.43,0.29,0.29,0.16,0.22,0.22,0.54,0.29,0.22;0.35;9,21,36,52;1
verses on forgiveness;1600;0.01;0.19;82500000;0.27,0.44,0.36,0.66,0.66,0.20,0.66,0.36,0.36,0.66,0.20,0.20;0.3;9,36,52;1
bible and forgiveness;1300;0.01;0.25;68600000;0.05,0.07,0.16,0.03,0.08,0.81,0.03,0.05,0.04,0.01,0.02,0.02;0.2;9,20,36,52;1
bible and forgiving others;1300;0.01;0.22;7520000;0.00,0.00,0.00,1.00,0.03,0.54,0.00,0.00,0.00,0.00,0.66,0.00;0.05;9,15,36,52;1
bible forgiveness passages;1300;0.01;0.25;9490000;0.00,0.65,0.00,1.00,0.54,0.65,0.00,0.00,0.00,0.00,0.65,0.00;0.25;9,20,36,38,52;1
bible on forgiveness;1300;0.01;0.25;71200000;0.24,0.29,0.35,0.18,0.24,0.10,0.13,0.35,0.53,0.24,0.13,0.10;0.25;9,20,36,43,52;1
bible passages about forgiveness;1300;0.01;0.25;9880000;1.00,0.34,0.65,0.65,0.24,0.34,0.24,0.24,0.44,0.34,0.24,0.20;0.25;9,20,21,36,52;1
bible quotes forgiving others;1300;0.01;0.22;3320000;0.00,0.00,0.00,1.00,0.36,0.54,0.00,0.00,0.00,0.00,0.66,0.00;0.3;5,9,13,36,38,45,52;1
bible scriptures on forgiveness;1300;0.01;0.25;21200000;0.24,0.13,0.20,0.36,0.36,0.27,0.27,0.66,0.80,0.24,0.24,0.24;0.25;9,15,20,21,36,45,52;1
bible verses about forgiving others;1300;0.01;0.22;4200000;0.16,0.52,0.20,0.24,0.16,0.36,0.36,0.16,0.66,0.52,0.52,0.16;0.2;9,36,52;1
reconciliation in the bible;1300;0.03;0.04;120;0.84,0.84,0.84,0.68,0.46,0.52,0.52,0.52,0.68,0.84,0.52,0.68;0.05;6,9,21,36,52;1
scriptures for forgiveness of others;1300;0.01;0.22;17600000;0.00,0.00,0.00,1.00,0.36,0.54,0.00,0.00,0.00,0.00,0.66,0.00;0.25;9,36,38,52;1
scriptures on forgiveness of sins;1300;0.01;0.19;12400000;0.02,1.00,0.18,0.03,0.02,0.04,0.07,0.05,0.02,1.00,0.03,0.01;0.2;9,36,52;1
bible quotations on forgiveness;1000;0.01;0.32;149;0.10,0.81,0.81,1.00,0.81,1.00,0.06,0.30,1.00,0.81,1.00,0.81;0.35;9,36,52;1
bible scriptures about forgiveness and love;1000;0.01;0.15;22600000;1.00,0.65,0.65,0.65,0.65,0.55,0.00,0.00,0.00,0.00,0.03,0.00;0.65;9,20,36,45,52;1
bible scriptures about forgiving yourself;1000;0.01;0.11;2190000;0.11,1.00,0.84,0.84,1.00,0.20,0.02,0.37,0.84,0.68,0.08,0.04;0.05;6,9,36,52;1
bible verse for forgiveness;1000;0.01;0.18;27700000;0.36,0.27,0.27,0.27,0.27,0.27,0.27,0.24,0.27,0.36,0.27,0.13;0.25;9,36,52;1
bible verses about forgiving;1000;0.01;0.25;152;1.00,0.02,0.02,0.01,0.02,0.01,0.02,0.03,0.02,0.10,0.01,0.10;0.25;9,20,36,52;1
bible verses about forgiving yourself;1000;0.01;0.11;161;0.45,0.76,1.00,0.76,1.00,0.76,1.00,1.00,0.76,1.00,1.00,0.67;0.05;5,9,13,20,21,36,52;1
bible verses for forgiveness and repentance;1000;0.06;0.09;165;0.84,0.68,0.84,0.68,0.68,0.52,0.52,0.68,0.68,0.52,0.37,0.16;0.15;6,9,21,36,52;1
biblical verses on forgiving others;1000;0.01;0.22;2990000;0.00,0.00,0.00,1.00,0.36,0.54,0.00,0.00,0.00,0.00,0.00,0.00;0.25;9,36,52;1
forgive bible verse kjv;1000;0.01;0.13;118;1.00,0.76,1.00,1.00,0.76,0.76,1.00,1.00,1.00,0.76,0.55,0.00;0.1;5,9,21,36,52;1
forgiveness of sins;1000;0.05;0.07;86000000;0.81,0.55,0.81,0.55,0.81,0.81,0.81,0.62,0.81,0.55,0.45,0.62;0.05;9,21,36,43,52;1
forgiveness of sins verses;1000;0.01;0.25;135;0.01,0.00,1.00,0.05,0.01,0.10,0.00,0.03,0.02,0.01,0.02,0.01;0.15;9,21,36,52;1
jesus forgiveness;1000;0.02;0.08;97700000;0.52,0.52,0.37,0.46,0.52,0.37,0.52,0.46,0.68,0.84,0.46,0.37;0.05;5,9,20,36,52;1
reconciliation scripture passages;1000;0.01;0.05;125;0.00,0.81,0.81,1.00,0.81,1.00,0.06,0.45,0.81,0.81,0.00,0.81;0.05;9,13,20,36,52;1
scripture about forgive;1000;0.01;0.25;19100000;0.00,0.00,0.00,1.00,0.54,0.65,0.00,0.00,0.00,0.00,0.65,0.00;0.2;9,20,21,36,38,45,52;1
scripture of forgiveness and love;1000;0.01;0.15;35800000;1.00,0.65,0.65,0.65,0.65,0.55,0.00,0.00,0.00,0.00,0.34,0.00;0.45;9,13,20,36,45,52;1
