Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
anxiety biblical verses;18100;0.02;0.46;131;0.00,1.00,0.66,1.00,0.00,0.36,0.00,0.03,0.36,0.20,0.66,0.54;0.65;9,21,36,38,52;1
prayer for anxiety;12100;0.17;0.36;109;0.54,0.66,1.00,0.66,0.54,0.44,0.66,0.54,0.54,1.00,0.36,0.44;0.05;6,9,13,20,21,36,52;1
bible verses about anxiety;9900;0.02;0.46;147;0.54,0.66,0.54,0.54,0.54,0.44,0.44,0.44,0.66,0.54,0.54,0.54;0.65;6,9,21,36,52;1
verses about nervousness;9900;0.02;0.54;132;0.00,0.66,1.00,0.66,0.44,0.44,0.00,0.05,0.00,0.54,0.66,0.01;0.65;9,13,20,21,36,52;1
depression bible scriptures;8100;0.03;0.37;10900000;0.01,0.81,1.00,1.00,0.66,0.81,0.00,0.07,0.54,0.01,0.00,0.01;0.05;21;1
bible scripture for nervousness;6600;0.02;0.46;128;0.00,0.00,0.66,1.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00;0.65;6,9,21,36,52;1
scripture for anxiety;5400;0.02;0.54;124;0.19,0.19,0.44,0.44,0.36,0.66,0.36,0.36,0.44,0.44,0.54,0.54;0.75;9,15,21,36,51,52;1
bible verse about anxiety;4400;0.02;0.46;134;0.44,0.54,0.66,1.00,0.54,0.44,0.54,0.54,0.54,0.54,0.44,0.35;0.7;9,21,36,38,52;1
bible verse for anxiety;4400;0.02;0.46;128;0.81,0.54,0.54,0.66,0.66,0.81,0.81,0.81,0.81,0.81,0.66,0.54;0.8;9,21,36,52;1
bible verses about fear;4400;0.02;0.35;121;0.44,0.54,0.29,0.29,0.23,0.44,0.19,0.23,0.36,0.44,0.19,0.29;0.05;9,20,21,36,52;1
bible verses for depression;4400;0.03;0.37;7070000;0.54,0.29,0.36,0.36,0.36,0.54,0.36,0.81,0.44,0.54,0.29,0.54;0.05;6,9,21,36,38,52;1
bible anxiety and fear;3600;0.02;0.49;121;0.03,0.81,1.00,0.66,0.36,0.54,0.00,0.04,0.43,0.81,0.66,0.54;0.2;9,20,21,36,52;1
bible quotes about anxiety fear;3600;0.02;0.49;162;0.03,0.81,1.00,0.66,0.36,0.54,0.00,0.04,0.43,0.81,0.66,0.54;0.4;9,15,21,36,51,52;1
do not be afraid bible verse;3600;0.02;0.14;163;0.66,0.81,0.66,0.66,0.66,0.53,0.66,0.66,1.00,0.81,0.44,0.66;0.05;6,9,21,36,45,52;1
do not fear bible verse;3600;0.02;0.14;127;0.66,0.81,0.66,0.44,0.66,0.66,0.53,0.53,0.66,0.81,0.81,1.00;0.1;6,9,21,36,45,52;1
fear in the bible;3600;0.02;0.36;122;0.54,0.43,0.81,0.36,0.54,0.43,0.66,0.36,0.54,0.54,0.43,0.43;0.1;5,9,21,36,52;1
scriptures on fear;3600;0;0;126;0.81,0.36,0.16,0.29,0.36,0.29,0.44,0.36,0.29,0.08,0.66,0.03;0.15;9,21,36,52;1
anxiety bible verses;2900;0.02;0.46;129;0.15,0.29,0.23,0.23,0.19,0.36,0.19,0.23,0.23,0.23,0.19,0.36;0.7;9,21,36,52;1
bible passages on fear and anxiety;2900;0.02;0.49;143;0.03,0.01,1.00,0.66,0.36,0.54,0.00,0.04,0.43,0.81,0.66,0.54;0.3;9,20,21,36,52;1
bible verses about depression;2900;0.03;0.37;129;0.24,0.29,0.44,0.24,0.44,0.29,0.24,0.19,0.24,0.36,0.19,0.16;0.05;9,13,21,36,38,52;1
scripture anxiety fear;2900;0.02;0.49;123;0.03,0.01,1.00,0.66,0.36,0.54,0.00,0.04,0.43,0.81,0.66,0.54;0.45;9,15,20,21,36,51,52;1
scriptures for anxiety;2900;0.02;0.54;124;0.23,0.44,0.54,0.35,0.44,0.44,0.29,0.44,0.29,0.29,0.29,0.35;0.65;9,13,21,36,52;1
verses for anxiety;2900;0.02;0.54;122;0.24,0.24,0.66,0.28,0.28,0.15,0.54,0.54,0.36,0.66,0.66,0.54;0.5;6,9,13,15,20,21,36,51,52;1
