Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
peace and bible;14800;0.01;0.26;118;0.00,0.00,0.66,1.00,0.44,0.36,0.00,0.03,0.29,0.20,0.66,1.00;0.5;9,20,21,36,52;1
bible verses about peace;12100;0.01;0.26;128;0.67,0.19,0.29,0.19,0.29,0.24,0.19,0.24,0.36,0.54,0.67,1.00;0.85;9,21,36,52;1
peace that surpasses all understanding;9900;0.51;0.01;105;0.66,0.81,0.54,0.66,0.54,0.44,0.66,0.44,0.81,0.81,0.66,0.66;0.05;6,9,20,21,36,45,52;1
scriptures on peace;9900;0.01;0.26;125;0.36,0.29,0.44,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36;0.8;9,21,36,52;1
peace that passes all understanding;6600;0.51;0.01;105;0.54,0.66,0.54,0.29,0.44,0.36,0.44,0.29,0.54,0.36,0.36,0.66;0.05;9,13,20,21,36,38,52;1
scriptures about peace;5400;0.01;0.26;126;1.00,0.13,0.29,0.54,0.44,0.29,0.54,0.23,0.29,0.54,0.23,0.81;0.8;9,21,36,52;1
bible verse about peace;4400;0.01;0.19;126;0.44,1.00,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36;0.8;9,21,36,52;1
peace bible verses;4400;0.01;0.26;126;0.81,0.66,1.00,0.81,0.81,0.66,1.00,0.81,1.00,0.81,0.44,0.81;0.75;9,21,36,52;1
peace of god;4400;0.03;0.03;115;0.24,0.29,0.29,0.19,0.24,0.24,0.54,0.54,1.00,0.54,0.81,0.54;0.05;9,20,21,36,38,43,52;1
scriptures in peace;4400;0.01;0.26;121;0.29,0.54,0.81,1.00,0.66,0.66,0.66,0.54,0.54,0.54,0.29,0.44;0.8;9,20,21,36,52;1
bible verses on peace;3600;0.01;0.26;126;0.15,0.36,0.13,0.23,0.10,0.19,0.15,0.81,0.29,0.44,0.36,0.29;0.8;9,21,36,52;1
scripture on peace;3600;0.01;0.26;125;0.19,0.16,0.19,0.16,0.19,0.16,0.16,0.13,0.13,0.16,0.10,0.13;0.8;9,20,21,36,52;1
peace scriptures;2900;0.01;0.26;125;0.16,0.19,0.16,0.16,0.19,0.16,0.16,0.12,0.24,0.12,0.29,0.24;0.75;9,21,36,52;1
scripture about peace;2900;0.01;0.26;125;0.13,0.13,0.16,0.10,0.16,0.19,0.10,0.24,0.24,0.16,0.10,0.13;0.85;9,21,36,52;1
peace that passes understanding;2400;0.51;0.01;105;0.23,0.16,0.29,0.16,0.16,0.16,0.29,0.29,0.19,0.29,0.44,0.81;0.05;9,21,36,38,45,52;1
scripture for peace;2400;0.01;0.26;128;0.28,0.24,0.28,0.28,0.28,0.66,0.28,0.28,0.28,0.28,0.28,0.54;0.75;9,21,36,52;1
verses about peace;2400;0.02;0.24;125;0.35,0.29,0.35,0.29,0.35,0.29,0.29,0.19,0.23,0.23,0.19,0.16;0.65;9,21,36,52;1
bible verses about peace and comfort;1900;0.02;0.78;155;0.41,0.79,1.00,0.79,1.00,1.00,0.79,0.66,1.00,1.00,1.00,1.00;0.25;9,21,36,52;1
biblical references to war;1900;0.01;0.03;61500000;0.35,0.29,0.35,0.35,0.35,1.00,0.24,0.29,0.53,0.35,0.29,0.24;0.05;9,20,21,36,45,52;1
peace in the bible;1900;0.01;0.26;199000000;0.07,0.07,0.04,0.04,0.08,0.03,0.04,0.04,0.07,0.08,0.07,0.07;0.45;9,21,36,45,52;1
bible verse for peace;1600;0.01;0.26;87200000;0.29,0.29,0.24,0.29,0.35,0.44,0.29,0.44,0.44,0.24,0.24,0.24;0.85;9,36,52;1
bible verses about peace and strength;1600;0.02;0.65;26900000;0.68,0.84,0.84,0.52,0.84,0.68,0.68,0.84,0.84,0.84,0.68,0.84;0.5;9,36,52;1
god of peace;1600;0.03;0.03;672000000;0.29,0.29,0.07,0.19,0.16,0.12,0.16,0.16,0.35,0.35,0.19,0.23;0.15;5,9,20,21,36,52;1
isaiah 55 kjv;1600;0.01;0.01;4930000;1.00,0.68,0.84,0.68,0.68,0.84,0.84,1.00,1.00,1.00,1.00,1.00;0.05;5,9,20,21,36,38;1
peace be still bible verse;1600;0.02;0;121;1.00,0.84,1.00,0.52,0.68,0.52,0.46,0.84,1.00,1.00,0.68,1.00;0.15;9,20,21,36,52;1
peace be still verse;1600;0.01;0.01;185000000;0.41,0.36,0.66,0.66,0.54,0.66,0.79,0.79,1.00,0.79,0.66,0.66;0.05;5,9,13,20,36,52;1
scriptures for peace;1600;0.01;0.26;392000000;0.35,0.18,0.18,0.35,0.16,0.16,0.16,0.18,0.29,1.00,0.24,0.10;0.65;9,21,36,45,52;1
the peace that passes all understanding;1600;0.24;0.01;155000000;0.36,0.44,0.52,0.16,0.24,0.27,0.80,0.52,0.36,0.52,0.52,0.52;0.05;9,13,20,36,38,52;1
verses about peace in hard times;1600;0.02;0.22;38600000;0.79,0.79,0.79,0.66,0.66,0.66,0.66,0.79,0.79,0.66,0.66,0.54;0.2;6,9,13,21,36,52;1
bible references to peace;1300;0.01;0.26;96700000;0.00,0.00,0.24,1.00,0.43,0.00,0.01,0.04,0.54,0.04,0.00,0.03;0.55;9,36,52;1
bible verses about peace of mind;1300;0.02;0.35;30300000;0.82,0.24,0.30,0.44,0.44,0.44,0.34,0.44,0.55,0.30,0.30,0.34;0.4;9,36,52;1
bible verses about war;1300;0.01;0.03;42400000;0.19,0.13,0.10,0.19,0.24,0.54,0.10,0.13,0.24,0.24,0.19,0.19;0.05;9,13,20,36,52;1
biblical verse for peace;1300;0.01;0.26;128;0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;0.7;9,36,52;1
god for peace;1300;0.03;0.03;113;0.00,0.00,0.00,1.00,0.43,0.66,0.00,0.00,0.00,0.00,0.00,0.00;0.15;9,20,21,36,52;1
god in peace;1300;0.03;0.03;103;0.00,0.00,0.00,1.00,0.43,0.66,0.00,0.00,0.00,0.00,0.00,0.00;0.1;5,9,20,21,36,52;1
god's peace;1300;0.03;0.03;130;0.10,0.20,0.00,0.16,0.22,0.36,0.65,0.36,0.54,0.16,0.00,1.00;0.05;5,9,20,36,38,43,52;1
love not the world kjv;1300;0.01;0.01;56300000;1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.62,0.62;0.05;9,13,20,21,36;1
peace that passeth all understanding;1300;0.51;0.01;120;0.03,0.05,0.03,0.04,0.08,0.10,0.04,0.13,0.05,0.29,0.15,0.08;0.05;6,9,13,36,52;1
scriptures on peace of mind;1300;0.02;0.35;34500000;0.36,0.27,0.66,0.36,0.27,0.36,0.36,0.24,0.24,0.36,0.36,0.27;0.45;9,20,36,52;1
the peace of god;1300;0.02;0.1;728000000;0.52,0.84,0.68,0.68,0.84,0.68,0.52,0.68,0.52,0.52,0.68,0.68;0.05;9,20,36,43,52;1
verses about peace bible;1300;0.01;0.26;63200000;0.00,0.00,0.00,1.00,0.43,0.00,0.00,0.00,0.00,0.00,0.66,0.00;0.65;9,36,52;1
verses in bible about peace;1300;0.01;0.26;70800000;0.00,0.00,0.00,1.00,0.43,0.00,0.00,0.00,0.00,0.00,0.66,0.00;0.55;9,13,36,52;1
verses on peace;1300;0.01;0.26;394000000;0.04,0.24,0.24,0.05,0.07,0.07,0.10,0.13,0.16,0.10,0.05,0.10;0.6;9,36,52;1
and the peace of god;1000;0.02;0.1;858000000;0.76,0.55,0.67,0.55,1.00,0.67,1.00,0.76,0.67,0.55,0.76,1.00;0.05;5,9,36,52;1
bible passages about understanding;1000;0.75;0.06;129;0.10,0.81,0.81,1.00,0.81,0.62,0.04,0.45,0.81,0.62,0.62,0.20;0.05;6,9,20,21,36,45,52;1
bible scriptures on peace and comfort;1000;0.02;0.78;14000000;0.08,0.16,0.10,0.10,0.36,0.29,1.00,0.08,0.13,0.16,0.08,0.08;0.35;6,9,15,20,36,51,52;1
bible verse on peace;1000;0.01;0.26;119000000;0.16,0.16,0.10,0.16,0.12,0.29,0.10,0.07,0.04,0.07,0.04,0.05;0.8;9,36,52;1
biblical meaning of peace;1000;0.02;0.02;135;0.10,0.27,0.24,0.52,0.36,0.36,0.00,0.08,0.44,0.24,0.27,0.36;0.05;9,36,52;1
peace that transcends all understanding;1000;0.51;0.01;9890000;0.08,0.12,0.08,0.16,0.44,0.03,0.08,0.05,0.08,0.02,0.19,0.19;0.05;6,9,13,20,36,52;1
