Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
bible verse;90500;0.36;0.16;125;0.82,0.82,1.00,0.82,0.82,0.67,0.82,0.82,0.82,0.82,0.82,0.82;0.1;6,9,20,21,36,52;1
encouraging bible verses;49500;0.01;0.9;130;0.81,0.81,0.81,0.81,1.00,0.66,0.66,0.81,0.81,0.81,0.66,0.66;0.05;6,9,15,21,36,51,52;1
bible quotes;33100;4.01;0.17;129;0.81,0.54,0.66,0.66,0.54,0.44,0.54,0.66,0.54,0.54,0.44,0.44;0.05;9,15,21,36,51,52;1
scripture;33100;0.43;0.11;119;0.81,0.66,0.81,0.66,0.81,0.54,0.66,0.66,0.81,0.81,0.66,0.66;0.05;1,6,9,20,21,36;1,3
best bible verses;27100;0.01;0.28;129;0.81,0.54,0.66,0.81,1.00,0.54,0.54,0.54,0.66,0.54,0.54,0.54;0.05;9,20,21,36,52;1,0
bible verses for encouragement;22200;0.01;0.9;129;0.44,0.44,0.44,0.36,0.44,0.36,0.54,0.44,0.44,0.54,0.44,0.54;0.05;9,21,36,52;1
biblical bible quotes;22200;4.01;0.17;130;0.00,1.00,0.54,0.81,0.36,0.24,0.00,0.03,0.29,0.20,0.36,0.66;0.05;1,9,21,36;1,3
good bible verses;22200;0.01;0.14;129;0.81,0.67,0.81,0.81,1.00,0.67,0.67,0.67,0.67,0.67,0.67,0.54;0.05;9,15,21,36,51,52;1
anxiety biblical verses;18100;0.02;0.46;131;0.00,1.00,0.66,1.00,0.00,0.36,0.00,0.03,0.36,0.20,0.66,0.54;0.3;9,21,36,38,52;1
inspirational bible verses;18100;0.02;0.87;78500000;0.67,0.54,0.67,0.54,0.67,0.44,0.54,0.54,0.67,0.54,0.54,0.44;0.05;9,15,21,36,51,52;1
short bible quotations;18100;0.01;0.46;123;0.00,1.00,0.81,1.00,0.54,0.24,0.00,0.03,0.44,0.67,0.67,0.67;0.05;9,20,21,36,52;1
short bible verses;18100;0.01;0.46;119;0.81,0.81,0.81,0.81,0.81,0.66,0.81,0.81,1.00,0.81,0.81,0.81;0.05;9,15,20,21,36,51,52;1
bible scriptures;14800;0.51;0.14;133;0.81,0.66,0.81,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.54;0.05;1,6,9,21,36,52;1
bible verses about life;14800;0.02;0.22;128;1.00,0.81,1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.66,0.66,0.54;0.05;9,21,36,52;1
bible verses for anxiety;14800;0.02;0.46;130;0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.66,0.54,0.54,0.44,0.44;0.25;9,21,36,38,52;1
bible verses for strength;14800;0.01;0.63;129;0.54,0.44,0.54,0.54,0.54,0.44,0.44,0.54,0.54,0.66,0.44,0.54;0.05;9,21,36,52;1
motivational bible verses;14800;0.01;0.58;124;1.00,0.81,0.81,0.81,0.81,0.66,0.54,0.81,0.81,0.81,0.66,0.66;0.05;6,9,20,21,52;1
scripture bible quotes;14800;4.01;0.17;133;0.36,0.29,0.29,0.36,0.36,0.24,0.24,0.36,0.36,0.29,0.54,1.00;0.05;5,6,9,21,36,52;1
scriptures;14800;0.43;0.11;98;0.44,0.54,0.44,0.36,0.36,0.36,0.44,0.36,0.54,0.36,0.36,0.44;0.05;1,9,20,21,36,52;1
bible verse for encouragement;12100;0.01;0.9;128;0.66,0.81,0.81,1.00,0.66,0.54,0.66,0.81,1.00,0.81,0.66,0.81;0.05;6,9,21,36,52;1
famous bible verses;12100;0.01;0.37;126;0.54,1.00,0.81,0.81,0.81,0.54,0.54,0.44,0.81,0.81,0.54,0.81;0.05;9,21,36,52;1
inspirational motivational bible quotes;12100;0.02;0.87;145;0.00,0.00,0.00,1.00,0.54,0.24,0.00,0.03,0.36,0.67,0.67,0.67;0.05;9,13,20,21,36,52;1
popular bible verses;12100;0.01;0.52;127;0.66,0.66,0.54,0.66,0.54,0.81,0.36,0.44,0.54,0.44,0.44,0.44;0.05;9,15,20,21,36,51,52;1
scripture for encouragement;12100;0.01;0.98;127;0.81,0.66,0.66,0.66,0.66,0.66,0.66,0.81,0.81,0.81,0.66,0.66;0.05;9,15,21,36,51,52;1
short bible text;12100;0.01;0.46;119;0.00,0.00,0.13,1.00,0.54,0.24,0.00,0.03,0.44,0.67,0.67,0.67;0.05;9,20,21,36,52;1
uplifting bible verses;12100;0.01;0.91;128;0.81,0.54,0.81,0.81,0.66,0.44,0.54,0.54,1.00,1.00,0.81,1.00;0.05;6,9,21,36,52;1
verses;12100;1.61;0.02;125;0.54,0.54,0.54,0.54,0.54,0.54,0.44,0.44,0.44,0.66,0.44,0.36;0.05;9,20,21,36,43,52;1
bible verse for strength;9900;0.01;0.63;130;0.29,0.44,0.29,0.29,0.36,0.29,0.36,0.29,0.44,0.36,0.36,0.24;0.05;6,9,21,36,52;1
bible verses about anxiety;9900;0.02;0.46;147;0.54,0.66,0.54,0.54,0.54,0.44,0.44,0.44,0.66,0.54,0.54,0.54;0.35;6,9,21,36,52;1
encouraging scriptures;9900;0.01;0.98;127;0.54,0.36,0.54,0.44,0.44,0.24,0.44,0.44,0.44,0.36,0.29,0.19;0.05;9,15,20,21,36,51,52;1
most popular bible verses;9900;0.01;0.37;123;1.00,0.29,0.36,0.29,0.36,0.24,0.36,0.54,0.36,0.36,0.29,0.44;0.05;6,9,20,21,36,45,52;1
powerful bible verses;9900;0.01;0.28;125;0.81,0.66,0.66,0.81,1.00,0.54,0.66,0.81,1.00,0.81,0.81,0.66;0.05;6,9,20,21,52;1
verses about nervousness;9900;0.02;0.54;132;0.00,0.66,1.00,0.66,0.44,0.44,0.00,0.05,0.00,0.54,0.66,0.01;0.25;9,13,20,21,36,52;1
where in the bible do it say;9900;0;0;220;0.81,0.66,0.81,0.81,0.66,0.81,0.81,0.81,1.00,0.81,0.81,1.00;0.05;9,20,21,36,52;1
bible quote of the day;8100;1.11;0.04;131;0.44,0.19,0.29,0.24,0.54,0.19,0.24,0.24,0.54,0.29,0.36,0.19;0.05;5,9,21,36,52;1
bible quotes of motivation;8100;0.01;0.58;126;0.00,0.01,0.01,1.00,0.66,0.81,0.00,0.08,0.54,0.81,1.00,0.81;0.05;5,9,13,15,36,51,52;1
comforting bible verses;8100;0.01;0.7;186;0.54,0.81,0.36,0.44,0.36,0.29,0.24,0.24,0.81,0.54,0.66,0.81;0.05;5,6,9,13,21,36,52;1
short gospel verses;8100;0.01;0.46;119;0.00,0.00,0.08,1.00,0.54,0.24,0.00,0.03,0.44,0.67,0.00,0.00;0.05;9,20,21,36,38,52;1
bible quotes bible;6600;0.51;0.14;130;0.01,1.00,1.00,1.00,0.66,0.66,0.00,0.00,0.00,0.00,0.00,0.00;0.05;5,9,21,52;1
bible scripture for nervousness;6600;0.02;0.46;128;0.00,0.00,0.66,1.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00;0.3;6,9,21,36,52;1
bible verse of the day about strength;6600;0.02;0.22;143;0.66,0.54,0.66,0.81,0.81,0.81,0.81,0.81,0.81,1.00,1.00,1.00;0.05;5,9,21,36,52;1
common verses;6600;0.01;0.37;120;0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.05,0.36,0.66,0.00,0.01;0.05;9,20,21,36,45,52;1
cute bible verses;6600;0.01;0.3;132;0.54,0.44,0.66,0.81,0.81,0.54,0.66,1.00,0.66,0.66,0.44,0.44;0.05;5,9,20,21,36,45,52;1
favorite bible verses;6600;0.02;0.96;130;0.36,0.19,0.24,0.24,0.54,0.19,0.24,0.24,0.29,0.29,0.29,0.24;0.05;6,9,15,21,36,51,52;1
inspirational quotes for the bible;6600;0.02;0.77;132;0.44,0.44,1.00,1.00,0.81,0.44,0.36,0.54,0.23,0.36,0.23,0.23;0.05;9,13,21,36,45,52;1
inspirational verse of the day;6600;0.17;0.52;131;1.00,0.81,1.00,1.00,0.81,0.81,1.00,1.00,1.00,0.81,0.81,1.00;0.05;5,9,21,36,52;1
uplifting bible quotes;6600;0.01;0.91;128;0.44,0.08,0.10,0.06,0.08,0.08,0.44,0.08,1.00,0.66,0.81,0.81;0.05;6,9,13,21,36,45,52;1
