Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
anger management classes;27100;3.95;0.65;147;0.66,0.66,0.81,0.66,0.54,0.66,1.00,0.66,0.66,0.81,0.54,0.81;0.05;3,9,21;1,2
anger management classes near me;5400;3.64;0.49;21500000;0.54,0.54,0.66,0.54,0.44,0.66,0.44,0.44,0.44,0.44,0.29,0.66;0.05;3,21,52;3
anger management classes online;4400;4.36;0.25;136;0.35,0.29,0.35,0.23,0.35,1.00,0.66,0.23,0.81,0.81,0.54,1.00;0.05;6,9,21,36,52;1
anger in the bible;3600;0.01;0.18;117;1.00,0.44,0.29,0.19,0.35,0.29,0.66,0.44,0.35,0.54,0.19,0.44;0.15;9,15,21,36,51,52;1
anger management courses near me;2900;3.64;0.49;197;0.29,0.65,0.81,0.65,0.43,1.00,0.43,0.54,0.54,0.65,0.65,0.81;0.05;3,6,9,21,52;1,3
what does the bible say about anger;2900;0.02;0.19;151;1.00,0.80,1.00,0.80,0.80,0.66,1.00,0.80,0.80,0.66,0.80,0.66;0.15;9,21,36,45,52;1
sin anger;2400;0.53;0;118;0.02,0.01,0.01,1.00,0.43,0.54,0.00,0.13,0.24,0.81,0.66,0.54;0.05;6,9,20,21,36,52;1
free anger management classes;1900;2.3;0.75;127;0.65,0.65,0.65,0.44,0.55,0.82,0.65,0.65,0.65,0.65,0.55,0.65;0.05;9,21,36,52;1
scriptures on anger;1900;0.02;0.23;15100000;0.36,0.80,0.66,0.52,0.52,0.52,0.44,0.52,0.52,0.44,0.52,0.24;0.05;9,21,36,45,52;1
anger management class;1600;3.95;0.65;148;0.23,0.16,0.16,0.10,0.54,0.29,0.16,0.23,0.10,0.05,0.08,0.44;0.05;1,6,9,13,21,36,52;1,2
anger management courses online;1600;4.36;0.25;192;0.07,0.01,0.01,0.01,0.01,0.10,0.10,0.29,0.81,0.53,1.00,0.66;0.1;9,36,45,52;1
