Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
abide;33100;2.51;0;105;0.81,0.54,0.54,0.44,0.44,0.30,0.36,0.54,0.44,0.54,0.44,0.30;0.05;9,20,21,36,38,52;1
meditation mobile app;8100;3.22;0.08;159;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.36,0.20,0.66,1.00;0.05;6,9,20,21,36,52;1
abides;3600;2.51;0;139;0.44,0.24,0.44,0.44,0.54,0.24,0.24,0.29,0.44,0.24,0.29,0.29;0.05;5,9,21,36,52;1
christian meditation;2900;1.48;0.21;104;0.43,0.43,0.66,0.66,0.54,0.43,0.54,0.43,0.43,0.43,0.24,0.36;0.05;9,20,21;1
prayer app;1900;1.5;0.08;132;0.35,0.29,0.53,0.44,0.29,0.13,0.24,0.29,0.44,0.53,0.29,1.00;0.05;6,9,21,36;1
christian sleep meditation;1000;1.37;0.16;17500000;0.41,0.54,0.66,0.36,0.16,0.20,0.20,0.54,0.66,0.54,0.54,0.36;0.1;9,36,45;1,3
prayer apps;1000;1.5;0.08;126;0.13,0.20,0.41,0.20,0.30,0.66,0.41,0.36,0.20,0.07,1.00,1.00;0.05;6,9,21,36,52;1,0
christian prayer app;880;2.18;0.02;96800000;0.08,0.10,1.00,0.24,0.30,0.13,0.16,0.20,0.66,0.30,0.41,0.54;0.1;9,36,52;1
abide app;720;2.85;0.23;65600000;0.36,0.30,0.54,0.30,0.36,0.24,0.24,0.20,0.36,0.20,0.24,0.24;0.2;6,9,13,14,15,36,38;2
abide sleep meditation;720;1.11;0.1;1660000;0.62,0.55,0.45,0.55,0.45,0.45,0.55,0.45,0.55,0.36,0.36,0.30;0.15;9,13,36;2
abide meditation;590;1.62;0.14;103;0.59,0.48,0.59,0.59,0.59,0.48,0.48,0.48,0.72,0.39,0.39,0.48;0.15;9,13,20,21,36;1
how to abide download;590;0;0;66800000;1.00,0.00,0.00;0.1;9,21,36,52;1
meditation on bible;590;1.05;0.15;42300000;0.16,0.55,0.55,0.55,0.45,0.36,0.30,0.55,0.67,0.36,0.20,0.20;0.05;6,9,20,36,52;1
scripture meditation;590;0.52;0.09;19000000;0.45,0.55,0.36,0.55,0.55,0.30,0.36,0.24,0.55,0.45,0.45,0.30;0.05;9,20,21,36,43,45;1
abide in the bible;480;0.28;1;24900000;0.30,0.36,0.45,0.24,0.30,0.20,0.30,0.24,0.36,0.36,0.30,0.36;0.05;9,20,36,52;1
bible sleep;480;0.77;0.09;156000000;0.54,1.00,0.81,0.23,0.44,0.44,0.66,0.81,0.66,0.66,0.66,0.66;0.05;5,9,13,20,21,36;1,3
christian apps;480;2.02;0.23;116;0.36,0.13,0.67,0.36,0.20,0.45,0.45,0.16,0.67,0.55,0.45,0.36;0.05;6,9,15,21,36,51,52;1
christian guided meditation;480;1.68;0.18;9690000;0.67,0.36,0.54,0.44,0.81,0.54,0.67,0.54,0.54,0.44,0.44,0.29;0.05;9,20,21,36;1
christian meditation for sleep;480;1.37;0.16;104;0.10,0.30,0.30,0.13,0.30,0.16,0.20,0.24,0.20,0.20,0.20,0.08;0.05;9,11,36;1
abide bible;390;0.28;1;118;0.36,0.24,0.30,0.24,0.24,0.30,0.24,0.24,0.30,0.30,0.30,0.30;0.05;6,9,13,20,21,36;1
app for christian;390;2.02;0.23;1120000000;0.19,1.00,0.00,0.54,0.67,0.54,0.15,0.36,0.00,0.67,0.00,0.67;0.05;6,9,36,45,52;1
christian app;390;2.54;0.24;177;0.44,0.44,1.00,0.66,0.44,0.12,0.44,0.54,0.66,0.54,0.66,0.66;0.05;6,9,20,36,52;1
christian mobile apps;390;2.02;0.23;409000000;0.44,0.15,0.44,0.81,1.00,0.81,0.23,0.54,0.81,1.00,0.81,1.00;0.05;6,9,20,36,45,52;1
sleep bible;390;0.77;0.09;221000000;0.66,0.66,0.29,0.54,0.44,0.36,0.54,0.66,0.66,0.54,0.66,0.54;0.05;5,9,13,20,36;1
catholic prayer and meditation app;320;0;0;128;0.00,0.00,0.05,0.10,0.16,0.20,0.08,0.20,1.00,0.16,0.16,0.16;0.1;6,9,21,36,52;1
devotional apps;320;1.19;0.21;38600000;0.24,0.16,0.16,0.13,0.10,0.16,0.16,0.20,0.24,0.24,0.30,0.20;0.05;6,9,21,36,45,52;1
a b i d e;260;2.51;0;82500000;0.02,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.20,1.00;0.1;9,13,20,36,38,52;1
a.b.i.d.e.;260;2.51;0;83900000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.20,1.00;0.1;9,20,36,52;1
abide scripture;260;0;0.03;18800000;1.00,0.53,0.53,0.53,0.53,0.53,0.66,0.53,0.66,0.66,0.53,0.43;0.05;9,13,20,21,36,52;1
abide youtube;260;0;0;104;0.44,0.36,0.36,0.36,0.29,0.36,0.44,0.44,0.44,0.36,0.29,0.23;0.1;9,20,21,36,38;1,3
biblical sleep;260;0.77;0.09;62100000;0.23,0.36,1.00,0.19,0.36,0.29,0.29,0.19,0.54,0.66,0.12,0.09;0.1;5,9,13,20,21,36,52;1
meditation bible;260;1.05;0.15;42900000;0.54,0.54,0.66,0.35,0.66,0.23,0.54,0.54,0.44,0.03,0.35,0.44;0.05;6,9,13,20,21,36,45,52;1
soul time;260;2.03;0.01;1460000000;0.54,0.43,0.54,0.54,0.43,0.54,0.54,0.54,0.66,0.54,0.54,0.54;0.05;5,9,20,21,36,52;1
the abide bible;260;0.25;1;199;0.35,0.23,0.28,0.35,0.35,0.35,0.35,0.35,0.54,0.35,0.54,0.66;0.05;6,9,20,21,34,36;2,3
abide meditation app;210;1.95;0.12;1590000;0.66,1.00,0.53,0.82,0.43,0.43,0.35,0.43,0.43,0.43,0.35,0.43;0.3;6,9,13,14,20,21,36,43;1,3
abidement;210;2.51;0;55600;0.05,0.00,0.11,0.20,0.20,0.00,0.02,0.04,0.20,0.11,0.16,0.13;0.05;9,13,36,52;1
apps for christian meditation;210;1.75;0.1;5850000;0.36,0.29,0.36,0.15,1.00,0.23,0.19,0.23,0.15,0.12,0.29,0.36;0.6;6,9,13,20,21,36,45,52;1
christian prayer apps;210;2.18;0.02;17400000;0.02,0.04,0.12,0.02,0.02,0.00,0.02,0.12,1.00,0.44,0.29,0.54;0.05;6,9,36,52;1
daily bible reading and meditation;210;1.62;0.05;19300000;0.81,0.53,0.81,0.65,0.65,0.53,0.81,0.65,0.81,0.65,0.65,0.65;0.05;9,36,45;1
religious apps;210;1.69;0.18;182000000;0.35,0.28,0.54,0.18,0.54,0.28,0.28,0.44,0.44,0.44,0.35,0.54;0.05;9,36,38,52;1
soultime;210;2.03;0.01;416000;0.23,0.23,0.29,0.29,0.29,0.19,0.29,0.19,0.19,0.29,0.23,0.29;0.1;6,9,13,20,21,36;2
abide christian meditation app;170;2.84;0.01;857000;0.03,0.18,0.18,1.00,0.28,0.23,0.23,0.28,0.28,0.15,0.15,0.11;0.35;6,9,13,20,21,36,38;1
biblical apps;170;0.93;0.19;36400000;0.29,0.14,0.08,0.35,0.66,0.29,0.18,0.43,0.66,0.43,0.29,0.08;0.05;5,6,9,21,36,52;1
