Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
hallow;60500;14.36;0.16;25600;0.20,0.20,1.00,0.45,0.20,0.16,0.13,0.16,0.30,0.30,0.20,0.30;0.1;6,9,13,20,21,36,38;2
pray;40500;0.72;0.37;119;0.54,0.54,0.36,0.54,0.44,0.44,0.29,0.29,0.36,0.44,0.54,0.36;0.1;6,9,20,21,36,43,52;1
prayers;40500;0.72;0.37;122;0.81,0.66,0.81,0.66,0.66,0.66,0.66,0.66,0.66,0.81,0.66,0.66;0.05;9,20,21,36,43,52;1
abide;33100;2.51;0;105;0.81,0.54,0.54,0.44,0.44,0.30,0.36,0.54,0.44,0.54,0.44,0.30;0.05;9,20,21,36,38,52;1
daily prayer;27100;0.29;0.27;105;0.81,0.81,0.81,0.66,1.00,0.66,0.54,0.54,0.66,0.66,0.66,0.66;0.05;5,9,20,21,36,43;1
praying;27100;0.72;0.37;115;0.24,0.24,0.24,0.20,0.20,0.10,0.16,0.16,0.20,0.24,0.16,0.16;0.05;5,6,9,20,21,36;1,3
hallow app;14800;15.56;0.26;106;0.13,0.10,0.66,0.20,0.16,0.10,0.10,0.10,0.13,0.13,0.13,0.36;0.1;6,9,21,36;2
p r a y e r;12100;0.72;0.37;104;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,1.00,0.66;0.05;9,20,21,36,52;1
meditation mobile app;8100;3.22;0.08;159;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.36,0.20,0.66,1.00;0.05;6,9,20,21,36,52;1
live in pray;5400;0;0;1940;0.02,0.54,0.81,0.81,1.00,0.44,0.00,0.03,0.66,0.66,1.00,0.44;0.05;9,20,21,36,52;1
prayer booking;5400;0.39;0.99;46100000;0.00,0.44,0.54,0.81,1.00,0.81,0.00,0.03,0.23,0.81,1.00,0.00;0.05;6,9,20,21;1
365/7;3600;0;0;73;0.44,0.35,0.35,0.81,0.19,0.66,1.00,0.01,0.35,0.35,0.44,0.44;0.05;0,9,21,36;1
abides;3600;2.51;0;139;0.44,0.24,0.44,0.44,0.54,0.24,0.24,0.29,0.44,0.24,0.29,0.29;0.05;5,9,21,36,52;1
bible 365;2400;0.61;0.93;123;0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,1.00,0.13,0.03,0.05;0.05;6,9,21,36,52;1
biblein365 app;2400;0.58;0.03;102;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.05,0.00,0.00;0.05;9,21,36,52;1
halo app;2400;21.01;0.21;155;0.35,0.29,1.00,0.44,0.35,0.24,0.24,0.35,0.29,0.24,0.29,0.53;0.05;9,21,36,52;1
lectio 365;2400;1.31;0.11;116;0.54,0.43,0.54,0.43,0.36,0.54,0.54,0.43,0.65,0.54,0.43,0.54;0.05;6,9,20,21,36,52;1
hallow app cost;1900;35.37;0.23;81;0.19,0.10,1.00,0.10,0.05,0.03,0.04,0.05,0.05,0.05,0.08,0.13;0.05;6,9,15,21,36,52;1
hallow prayer app;1900;4.09;0.21;120;0.16,0.19,0.66,0.23,0.16,0.12,0.12,0.12,0.19,0.19,0.19,0.29;0.1;6,9,20,21,36,38,52;1,2
pray definition;1900;4.02;0;131;0.54,0.29,0.29,0.23,0.19,0.12,0.29,0.16,0.19,0.16,0.19,0.23;0.05;9,21,36,38,52;1
pray meaning;1900;4.02;0;133;0.24,1.00,0.66,0.52,0.52,0.66,0.08,0.16,0.66,0.52,0.52,0.44;0.05;9,21,38,52;1
365 daily;1600;0;0;1230000000;0.00,0.01,1.00,0.01,0.00,0.02,0.02,0.01,0.01,0.01,0.01,0.01;0.05;5,6,9,20,21,36,52;2
echo -e;1600;0.44;0.37;492000000;0.08,0.03,0.29,0.10,0.16,0.00,0.00,0.13,0.00,0.08,0.19,0.02;0.05;9,20,36;1
pray a;1600;0.83;0.3;122;0.44,0.65,0.65,1.00,0.82,0.44,0.55,0.55,0.34,0.34,0.34,0.44;0.1;9,20,36,52;1
prays;1600;1.95;0;461000000;0.08,0.07,0.12,0.12,0.16,0.12,0.16,0.35,0.29,0.29,0.19,0.23;0.05;0,5,6,9,13,36,43;1
start-375;1600;0;0;569000000;0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.54,0.08,0.66,0.05,0.02;0.05;;1
what is hallow;1600;8.42;0.17;42000000;0.05,0.10,1.00,0.19,0.05,0.04,0.05,0.04,0.05,0.08,0.07,0.19;0.05;6,9,20,36,38,52;1
bible app with verse of the day;1300;1.1;0.16;143;0.07,1.00,0.44,0.55,0.44,0.55,0.03,0.24,0.55,0.44,0.55,0.44;0.05;9,36,52;1
daily devotional prayer;1300;0.4;0.29;64200000;0.44,0.20,0.44,0.27,0.13,0.36,0.36,0.16,0.36,0.44,0.27,0.44;0.05;9,13,15,20,21,36,52;1
daily prayer app;1300;1.13;0.14;135;0.54,1.00,0.54,0.79,0.30,0.20,0.54,0.36,0.36,0.36,0.30,0.79;0.4;9,21,52;1
dailyprayer us;1300;0.49;0.12;9520000;0.65,0.82,0.00,0.00,0.00,0.65,0.65,0.65,0.55,0.65,0.44,0.55;0.05;6,9,36;2
is hallow app free;1300;17.35;0.21;135;0.08,0.13,1.00,0.35,0.16,0.10,0.10,0.13,0.16,0.13,0.16,0.29;0.15;6,9,21,36,45,52;1
lectio;1300;0.69;0.05;113;1.00,0.41,0.54,0.36,0.41,0.36,0.36,0.54,0.66,0.66,0.54,0.54;0.05;9,20,36,38,43,52;1
30 minute catholic mass today;1000;0.11;0.05;27600000;0.65,0.82,0.82,0.82,0.44,0.13,0.07,0.11,0.02,0.04,0.16,0.55;0.05;9,20,36,52;1,3
365/15;1000;0;0;751000;0.16,0.13,0.04,1.00,0.00,0.00,0.02,0.66,0.29,0.05,0.10,0.05;0.05;0,9,13;1
catholic prayer app;1000;2.17;0.01;40300000;0.11,0.20,0.55,0.34,0.24,0.16,0.20,0.20,1.00,0.30,0.24,0.44;0.1;6,9,20,21,36,45,52;1
christian sleep meditation;1000;1.37;0.16;17500000;0.41,0.54,0.66,0.36,0.16,0.20,0.20,0.54,0.66,0.54,0.54,0.36;0.05;9,36,45;1,3
daily prayer devotional;1000;0.4;0.29;30400000;0.84,1.00,0.25,0.16,0.20,0.37,0.37,0.84,0.31,0.68,0.68,0.52;0.05;9,20,36,37;1,0
echo app;1000;0.64;0.12;513000000;0.15,0.13,0.15,0.19,0.15,0.13,0.19,0.19,0.13,0.19,0.15,0.24;0.05;1,6,9,20,36,52;1
how much is hallow app;1000;34.3;0.21;132;0.08,0.13,1.00,0.18,0.08,0.07,0.05,0.07,0.10,0.08,0.13,0.24;0.1;6,9,15,21,36,52;1
lectio bible;1000;0.38;1;2500000;1.00,1.00,0.84,0.52,0.37,0.52,0.37,0.46,0.31,0.31,0.37,0.52;0.05;1,6,9,13,20,36;1
praybook;1000;0.39;0.99;55400;0.00,0.81,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;0.1;6,9,13,36,52;1
prayer and meditation;1000;1.43;0.12;88900000;0.31,0.13,0.25,0.46,0.68,0.68,0.37,0.84,0.46,1.00,0.37,0.52;0.05;9,13,20,36,37,52;1
prayer apps;1000;1.5;0.08;126;0.13,0.20,0.41,0.20,0.30,0.66,0.41,0.36,0.20,0.07,1.00,1.00;0.55;6,9,21,36,52;1,0
christian prayer app;880;2.18;0.02;96800000;0.08,0.10,1.00,0.24,0.30,0.13,0.16,0.20,0.66,0.30,0.41,0.54;0.65;9,36,52;1
daily devotional app;880;1.53;0.21;61100000;1.00,0.20,0.36,0.13,0.13,0.13,0.13,0.10,0.24,0.16,0.08,0.24;0.05;6,9,21,36,45,52;1
dwell differently;880;0.91;0.4;11400000;0.62,0.81,1.00,0.81,0.62,0.36,0.36,0.45,0.24,0.36,0.30,0.30;0.05;1,6,9,20,36;2,3
