Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
st of anger;2400;0;0.02;127;0.65,0.54,0.65,0.65,1.00,1.00,0.01,0.20,0.36,0.54,0.65,0.81;0.1;9,21,36,52;1
scriptures on anger;1900;0.02;0.23;15100000;0.36,0.80,0.66,0.52,0.52,0.52,0.44,0.52,0.52,0.44,0.52,0.24;0.05;9,21,36,45,52;1
anger bible scriptures;1600;0.01;0.18;10200000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.81,1.00,0.00,0.03;0.05;6,9,20,21,36,52;1
bible verses on anger;1300;0.01;0.18;17800000;0.35,0.18,0.16,0.16,0.16,0.18,0.13,0.24,0.53,0.18,0.18,0.44;0.05;6,9,36,52;1
bible verses about controlling anger;720;0.03;0.15;147;0.55,0.45,0.62,0.62,0.45,0.45,0.55,0.36,0.36,0.45,0.45,0.45;0.05;6,9,36,52;1
anger bible verses;590;0.01;0.18;147;0.13,0.04,0.10,0.03,0.05,0.13,0.03,0.08,0.13,0.13,0.08,0.08;0.1;6,9,36,52;1
scripture on anger;590;0.02;0.23;20200000;0.30,0.36,0.36,0.30,0.55,0.55,0.36,0.45,0.55,0.55,0.45,0.36;0.05;9,20,21,36,52;1
scriptures on controlling anger;590;0.03;0.15;6330000;0.20,0.81,0.81,1.00,0.16,0.16,0.04,0.13,0.81,0.05,0.08,0.04;0.05;6,9,20,36,52;1
anger control bible verses;480;0.03;0.15;128;0.00,0.00,0.81,1.00,0.62,0.62,0.00,0.00,0.00,0.00,0.62,0.00;0.05;6,9,21,36,52;1
anger in scripture;480;0.02;0.23;21700000;0.16,1.00,0.31,0.31,0.20,0.08,0.16,0.25,0.16,0.20,0.03,0.20;0.05;9,15,36,51,52;1
anger scriptures;480;0.02;0.23;16000000;0.08,0.20,0.36,0.45,0.30,0.24,0.36,0.24,0.36,0.30,0.45,0.30;0.05;6,9,20,21,36,45,52;1
bible verses about anger control;480;0.03;0.15;6450000;0.07,0.21,0.88,0.88,0.72,0.88,0.26,0.21,0.21,0.17,0.72,0.14;0.05;6,9,36,52;1
control temper bible verse;480;0;0.18;1650000;0.10,0.81,0.81,1.00,0.62,0.01,0.01,0.01,0.01,0.01,0.01,0.01;0.05;6,9,21,36,52;1
scriptures about anger;480;0.02;0.23;14800000;0.44,0.13,0.11,0.20,0.01,0.02,0.20,0.24,0.20,0.24,0.16,0.11;0.05;6,9,21,36,45,52;1
anger scripture;390;0.02;0.23;20800000;0.44,0.54,0.54,0.54,0.36,0.44,0.66,0.81,0.66,0.81,0.54,0.44;0.05;6,9,36,52;1
bible verses for anger control;390;0.03;0.15;155;0.01,0.32,1.00,0.48,0.88,0.88,0.05,0.05,0.00,0.05,0.72,0.21;0.05;6,9,20,21,36,52;1
controlling anger bible;390;0.03;0.15;19800000;0.13,0.13,0.06,0.02,0.13,0.36,0.08,0.55,1.00,1.00,0.08,0.06;0.05;6,9,20,36,52;1
prayer of anger;390;0.25;0.06;44900000;0.14,0.01,0.05,0.00,0.07,0.01,0.17,0.59,1.00,0.72,1.00,0.59;0.55;9,13,20,36,52;1
prayers for anger;390;0.25;0.06;43700000;0.44,0.66,0.54,0.54,0.36,0.23,0.36,0.36,0.23,0.19,1.00,1.00;0.6;5,9,13,20,36,45,52;1
bible verses anger;320;0.01;0.18;13200000;0.30,0.10,0.03,0.02,0.30,0.16,0.03,0.20,0.03,0.36,0.02,0.03;0.05;6,9,13,21,36,38,45,52;1
bible quotes about controlling anger;260;0.03;0.15;7490000;0.00,0.03,0.16,1.00,0.10,0.62,0.00,0.00,0.00,0.00,0.06,0.00;0.05;6,9,21,36,52;1
bible verses to calm anger;260;0.02;0.19;152;0.23,0.44,0.29,0.36,0.44,0.36,0.36,0.36,0.54,0.44,0.29,0.36;0.05;6,9,20,21,36,45,52;1
bible verses to help with anger;260;0.02;0.27;168;0.53,0.66,0.82,0.53,1.00,0.53,0.66,0.53,1.00,0.66,0.82,0.53;0.05;6,9,20,21,36,52;1
prayer for frustration;260;4.2;0.03;119;0.66,0.82,0.82,0.66,0.66,0.66,0.53,0.66,0.53,0.53,0.43,0.53;0.2;5,9,13,20,21,36,52;1
bible scriptures about anger;210;0.01;0.18;12200000;0.02,1.00,0.04,0.30,0.02,0.00,0.00,0.00,0.05,0.03,0.20,0.03;0.05;9,20,21,36,45,52;1
bible verses for calming anger;210;0.02;0.19;144;0.34,0.81,0.65,0.81,0.65,0.65,0.65,0.43,0.81,1.00,0.53,0.65;0.05;6,9,20,36,52;1
bible verses on anger management;210;0.02;0.26;1800000;1.00,0.23,0.54,0.11,0.18,0.23,0.23,0.28,0.18,0.11,0.35,0.44;0.05;6,9,13,36,45,52;1
biblical scriptures on anger;210;0.02;0.16;9960000;0.82,0.28,0.17,0.35,1.00,0.35,0.82,0.53,0.53,0.43,0.23,0.53;0.05;6,9,20,21,36,38,52;1
psalms about anger;210;4.01;0.02;138;0.23,0.23,0.29,0.29,0.19,0.23,0.23,0.29,0.36,0.23,0.23,0.19;0.05;6,9,13,36,52;1
scripture for anger;210;0.02;0.23;127;0.29,0.19,0.19,0.19,0.19,0.19,0.15,0.36,0.36,0.36,0.36,0.29;0.05;6,9,36,52;1
scriptures for anger;210;0.02;0.23;16100000;0.26,0.21,0.09,0.32,0.03,0.02,0.14,0.26,0.26,0.26,0.26,0.21;0.05;9,36,52;1
short prayer for anger;210;0;0.02;106;0.80,0.80,1.00,0.80,0.80,0.80,1.00,1.00,0.80,0.65,0.65,0.53;0.45;9,13,36,38,52;1
what does scripture say about anger;210;0.02;0.19;41100000;0.04,0.07,0.05,0.04,0.13,0.07,0.04,0.07,0.11,0.04,0.07,0.03;0.05;9,36,52;1
bible scriptures to help with anger;170;0.04;0.32;193;0.34,0.53,0.65,0.53,0.65,0.53,0.53,0.65,0.80,0.80,0.65,0.53;0.05;6,9,13,21,36,52;1
bible verses on calming anger;170;0.02;0.19;150;0.28,0.65,0.21,0.34,0.65,0.53,0.43,0.81,0.81,0.65,0.65,0.81;0.05;6,9,20,21,36,45,52;1
prayer to remove spirit of anger;170;1.15;0.03;8610000;0.29,0.22,0.29,0.35,0.35,0.43,0.35,0.43,0.43,0.35,0.22,0.29;0.3;9,13,36,52;1
psalms of anger;170;4.01;0.02;6270000;0.80,0.65,0.65,0.80,0.80,0.65,0.26,1.00,0.80,1.00,0.65,0.53;0.05;9,13,36,52;1
scripture anger;170;0.01;0.18;20300000;0.06,0.35,0.00,0.35,0.15,0.15,0.44,0.66,0.11,0.35,0.66,0.05;0.05;9,20,21,36,45,52;1
scriptures to help with anger;170;0.04;0.32;174;0.66,0.43,0.43,0.35,0.43,0.35,0.43,0.43,0.35,0.43,0.35,0.28;0.05;6,9,21,36,38,45,52;1
the bible about anger;170;0.02;0.16;45600000;0.53,0.28,0.23,0.35,1.00,0.82,0.43,0.28,0.35,0.35,0.17,0.28;0.05;5,6,9,15,21,36,52;1
anger in the bible kjv;140;0.02;0.07;6070000;0.53,0.28,0.28,0.35,0.35,0.28,0.28,0.28,0.35,0.35,0.23,0.28;0.05;9,36,52;1
