Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
bible verses for anxiety;14800;0.02;0.46;130;0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.66,0.54,0.54,0.44,0.44;0.05;9,21,36,38,52;1
prayers for anxiety;6600;0.17;0.36;109;0.54,0.54,0.54,0.54,0.54,0.81,0.44,0.54,0.54,0.44,0.66,0.29;0.6;5,9,21,36,38,52;1
scripture for anxiety;5400;0.02;0.54;124;0.19,0.19,0.44,0.44,0.36,0.66,0.36,0.36,0.44,0.44,0.54,0.54;0.05;9,15,21,36,51,52;1
bible verse for anxiety;4400;0.02;0.46;128;0.81,0.54,0.54,0.66,0.66,0.81,0.81,0.81,0.81,0.81,0.66,0.54;0.05;9,21,36,52;1
fe'el;3600;3.98;0.02;79;0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,1.00;0.05;9,21,36,52;1
prayer for peace of mind;3600;0.16;0.43;148;0.66,0.66,0.66,0.54,0.66,0.54,0.43,0.66,0.54,0.54,0.36,0.43;0.05;9,21,36,52;1
prayer for depression;2400;1.32;0.25;7540000;0.81,0.54,0.54,0.54,0.54,0.65,0.65,0.43,0.54,0.43,0.43,0.43;0.15;21,52;1
anxiety prayer;1900;0.17;0.36;112;0.29,0.29,0.35,0.35,0.66,0.35,0.44,0.66,0.44,0.44,0.24,0.35;0.8;5,6,9,20,21,36,52;1
nervousness bible verses;1900;0.01;0.37;5220000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00;0.05;9,20,21,36,52;1
prayer for peace and comfort;1900;0.15;0.79;137;0.36,0.27,0.66,0.52,0.36,0.27,0.36,0.66,1.00,0.80,0.80,0.66;0.05;6,9,20,21,36,38,52;1
prayer for strength and peace;1900;0.25;0.91;145;0.52,0.52,0.52,0.52,0.66,0.52,0.44,0.36,0.52,0.80,0.52,0.66;0.05;9,21,36,52;1
bible verses on anxiety;1600;0.02;0.46;14500000;0.07,0.03,0.07,0.13,0.07,0.07,0.07,0.13,0.13,0.08,0.07,0.05;0.05;6,9,21,36,45,52;1
prayer for encouragement;1600;0.17;0.97;112;0.43,0.36,0.20,0.54,0.20,0.29,0.29,0.43,0.20,0.29,0.29,0.43;0.1;9,21,36,52;1
prayers of comfort;1600;0.15;0.93;70400000;0.54,0.81,0.13,0.08,0.16,0.54,0.65,0.16,0.29,0.16,0.43,0.36;0.1;9,13,20,36,43,52;1
prayer for anxiety and worry;1300;0.17;0.48;32000000;1.00,0.46,0.25,0.37,0.84,0.84,0.84,0.68,0.52,0.68,0.46,0.52;0.45;5,9,20,36,38,43,45,52;1
prayer for mental health;1300;0.87;0.19;7950000;0.41,0.66,0.54,0.66,0.79,0.54,0.54,0.66,0.66,0.54,0.41,0.41;0.1;5,6,9,36,52;1
prayer for peace and healing;1300;0.17;0.83;68700000;0.36,0.29,0.29,0.22,0.29,0.22,0.36,0.29,0.36,0.22,0.36,0.22;0.05;5,6,9,13,20,36,45,52;1
prayer for stress;1300;0.17;0.18;105000000;0.68,0.84,1.00,1.00,0.84,0.52,0.68,0.68,0.84,0.84,0.68,0.52;0.25;9,36,52;1
prayers for peace of mind;1300;0.16;0.43;54200000;0.36,0.29,0.29,0.29,0.36,0.29,0.29,0.29,0.22,0.22,0.65,0.16;0.1;5,9,36,52;1
anxiety scriptures;1000;0.02;0.54;12800000;0.20,0.24,0.36,0.24,0.24,0.24,0.20,0.27,0.36,0.36,0.27,0.24;0.05;6,9,13,20,36,38,45,51,52;1
prayer for stress and anxiety;1000;0.24;0.4;22800000;0.46,0.52,0.52,0.68,0.68,0.37,0.52,0.68,0.46,0.46,0.52,0.52;0.3;5,9,13,36,43,45,52;1
prayer worry anxiety;1000;0.17;0.48;19600000;0.11,0.31,0.31,0.84,1.00,1.00,0.04,0.25,0.68,0.68,0.84,0.68;0.4;5,6,9,36,45,52;1
prayers for comfort;1000;0.15;0.93;123;0.24,0.24,0.18,0.35,0.16,0.16,0.18,0.18,0.16,0.18,0.16,0.13;0.05;9,20,36,43,52;1
prayers for peace and comfort;1000;0.15;0.79;52300000;0.34,0.24,0.24,0.24,1.00,0.44,0.30,0.34,0.30,0.20,0.20,0.20;0.1;5,9,20,36,52;1
peace of mind prayer;880;0.16;0.43;95900000;0.30,0.67,0.76,0.67,1.00,0.55,0.76,0.76,0.67,0.67,0.67,0.67;0.1;5,9,13,20,36,52;1
prayer for calm;880;0.16;0.27;85500000;0.68,0.37,0.46,0.37,0.37,0.46,0.46,0.46,0.52,0.46,0.46,0.37;0.25;6,9,13,20,36,52;1
prayer for happiness;880;4.02;0.17;127000000;0.55,0.62,0.62,0.62,0.62,0.36,0.45,0.62,0.55,0.55,0.36,0.45;0.05;5,6,9,13,36,52;1
prayer for worry;880;0.16;0.28;121;0.54,0.36,0.36,0.36,0.41,0.36,0.24,0.30,0.36,0.30,0.24,0.24;0.5;5,9,36,52;1
prayer on depression;880;1.32;0.25;57500000;0.84,0.00,0.00,0.00,0.00,0.84,1.00,0.46,0.68,0.84,0.52,0.52;0.2;5,9,13,36,52;1
prayers for depression;880;1.32;0.25;4840000;0.27,0.27,0.24,0.24,0.27,0.24,0.24,0.27,0.24,0.24,0.20,0.20;0.15;52;1
catholic prayer for anxiety;720;0.6;0.17;11100000;0.45,0.36,0.55,0.45,0.45,0.55,0.55,0.62,0.55,0.55,0.45,0.45;0.2;5,6,9,20,36,38,52;1
prayer for anxiety and depression;720;1.12;0.28;24900000;0.45,0.55,0.45,0.62,0.45,0.36,0.36,0.45,0.36,0.45,0.45,0.45;0.3;9,21,52;1
prayer for anxiety and stress;720;0.24;0.4;152;0.30,0.24,0.36,0.24,0.30,0.20,0.16,0.24,0.20,0.30,0.41,0.30;0.4;5,6,9,13,20,36,52;1
prayer for anxiety worry and fear;720;0.37;0.19;9640000;0.45,0.45,0.62,0.55,0.45,0.36,0.36,0.36,0.45,0.45,0.30,0.30;0.35;5,9,13,20,36,45,52;1
prayer for comfort and peace;720;0.15;0.79;62100000;0.13,0.16,0.16,0.20,0.16,0.66,0.44,0.13,0.13,0.16,0.13,0.13;0.05;5,6,9,36,52;1
prayer for fear;720;0.16;0.19;102;0.45,0.45,0.55,0.45,0.62,0.55,0.55,0.62,0.45,0.45,0.30,0.36;0.15;9,21,36,52;1
prayer for healing and peace;720;0.17;0.83;164;0.55,0.45,0.45,0.45,0.55,0.45,0.55,0.55,0.55,0.45,0.55,0.45;0.05;6,9,20,36,38,52;1
prayer for worry and anxiety;720;0.17;0.48;17100000;0.59,0.32,0.88,0.88,1.00,0.88,0.72,0.59,0.88,0.88,0.59,0.59;0.45;5,9,36,52;1
prayer of comfort and peace;720;0.15;0.79;59600000;0.24,0.55,0.76,0.67,1.00,1.00,0.76,0.13,0.67,0.16,0.16,0.36;0.05;5,9,13,20,36,45,52;1
short prayer for peace of mind;720;0.4;0.36;149;0.88,0.72,0.88,0.72,0.72,0.88,0.88,1.00,0.59,0.59,0.72,0.59;0.1;6,9,13,20,36,38,45,52;1
positive prayer;590;2.75;0.64;122;0.45,0.55,0.55,0.45,0.45,0.24,0.30,0.30,0.45,0.24,0.30,0.24;0.05;5,6,9,13,20,36,52;1
prayer for inner peace;590;0.16;0.47;36600000;1.00,0.45,0.55,0.36,0.36,0.45,0.45,0.45,0.36,0.36,0.30,0.36;0.05;6,9,13,20,36,52;1
prayer for joy;590;1.41;0.06;194000000;0.55,0.36,0.55,0.30,0.36,0.36,0.36,0.36,0.36,0.36,0.24,0.62;0.05;5,6,9,13,36,52;1
prayer for peace and protection;590;0.29;0.27;63100000;0.48,0.48,0.48,0.48,0.59,0.59,0.59,0.59,0.59,0.59,0.39,0.48;0.05;6,9,20,36,52;1
prayer for peace and strength;590;0.25;0.91;77800000;0.88,0.88,0.88,1.00,0.88,0.48,0.32,0.59,0.17,0.39,0.21,0.21;0.05;5,6,9,13,20,36,45,52;1
prayer for peace of mind and heart;590;0.21;0.48;71800000;0.30,0.30,0.24,0.24,0.24,0.24,0.30,0.24,0.30,0.30,0.16,0.16;0.05;9,13,21,36,52;1
prayers for mental health;590;0.87;0.19;4840000;1.00,0.25,0.31,0.25,0.31,0.31,0.25,0.25,0.31,0.20,0.25,0.20;0.05;5,6,9,13,36,52;1
verses for stress and anxiety;590;0.02;0.56;11800000;0.30,0.45,1.00,0.55,0.30,0.24,0.13,0.30,0.30,0.16,0.16,0.24;0.05;6,9,13,20,36,45,52;1
help me god i am depressed;480;3.12;0.56;7010000;1.00,0.81,1.00,0.66,0.66,0.66,0.66,0.66,0.54,0.54,0.66,0.44;0.1;6,21;1
prayer for anxiety and fear;480;0.38;0.52;27000000;0.24,0.45,0.30,0.45,0.30,0.30,0.45,0.30,0.36,0.36,0.30,0.30;0.6;5,9,13,20,36,45,52;1
