Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
prayer for marriage;2400;0.04;0.22;124;0.54,0.43,0.28,0.36,0.28,0.36,0.36,0.43,0.36,0.43,0.43,0.28;0.05;5,6,9,20,21,36,52;1
prayer for love;1600;0.6;0.19;113;0.29,0.35,0.29,0.24,0.18,0.29,0.24,0.44,0.24,0.24,0.16,0.44;0.05;6,9,21,36,52;1
prayer to saint jude;1600;2.38;0.59;7920000;0.35,0.29,0.24,0.35,0.29,0.29,0.29,0.24,0.29,0.29,0.24,0.10;0.05;5,9,13,20,36,52;1
prayer for relationship;1300;0.99;0.02;307000000;0.20,0.36,0.36,0.36,0.36,0.36,0.27,0.27,0.44,0.44,0.44,0.16;0.2;5,9,13,20,36,43,52;1
love and prayers;1000;0.6;0.19;558000000;0.54,0.36,0.30,0.41,0.41,0.24,0.66,0.24,0.54,0.54,0.41,0.36;0.05;5,9,13,20,21,36,45,52;1
pray for love;1000;0.6;0.19;375000000;0.43,0.43,0.07,0.07,0.43,0.20,0.08,0.10,0.36,0.36,0.04,0.04;0.05;1,5,6,9,10,13,20,36,38,45,52;1
prayers for him;1000;0.22;0.49;206;0.36,0.54,1.00,0.41,0.54,0.24,0.36,0.41,0.24,0.36,0.24,0.20;0.1;6,9,36,52;1
prayer for husband and wife;880;0.48;0.27;196000000;0.62,0.55,0.45,0.36,0.45,0.36,0.55,0.45,0.55,0.55,0.55,0.55;0.05;5,6,9,13,20,21,36,52;1
prayer for my family in difficult times;880;4.02;0.11;404000000;0.76,0.67,0.76,0.67,0.67,0.55,0.45,0.67,0.55,0.55,0.67,0.55;0.05;5,6,9,13,20,36,45,52;1
prayers for marriage;880;0.04;0.22;169000000;0.24,0.27,0.36,0.20,0.27,0.24,0.20,0.27,0.27,0.20,0.16,0.16;0.05;5,6,9,13,36,52;1
st jude prayer for healing;880;5.98;0.36;125;0.37,0.46,0.68,0.52,0.52,0.37,0.37,0.52,0.46,0.68,0.46,0.46;0.05;5,9,13,20,21,36,52;1
family prayer for healing;720;0.04;0.91;90;0.05,0.16,0.18,0.16,0.13,0.07,0.16,0.18,0.16,0.13,0.08,0.10;0.1;5,6,9,20,36,52;1
love prayer;720;0.6;0.19;727000000;0.79,0.79,0.66,0.16,0.20,0.13,0.13,0.13,0.16,0.13,0.36,0.16;0.15;9,13,20,21,36,52;1
prayer for marriage restoration;720;0.23;0.17;10100000;0.30,0.36,0.36,0.36,0.30,0.30,0.30,0.30,0.30,0.24,0.30,0.24;0.1;9,20,36,38,52;1
prayer for my marriage;720;0.3;0.42;141000000;0.45,0.45,0.45,0.45,0.55,0.36,0.36,0.55,0.45,0.45,0.36,0.45;0.05;5,9,13,20,21,36,45,52;1
prayer for boyfriend;590;0;0;93100000;0.36,0.55,0.55,0.55,0.45,0.45,0.55,0.36,0.55,0.55,0.36,0.30;0.05;6,9,13,36,52;1
prayer for husband and marriage;590;0.48;0.27;150000000;0.13,0.10,1.00,1.00,0.76,0.45,0.08,0.24,0.76,0.76,0.10,0.13;0.05;5,9,13,20,21,36,45,52;1
