Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
prayers for anxiety;6600;0.17;0.36;109;0.54,0.54,0.54,0.54,0.54,0.81,0.44,0.54,0.54,0.44,0.66,0.29;0.05;5,9,21,36,38,52;1
prayer for work;1900;0.93;0.09;112;0.66,0.36,0.44,0.36,0.52,0.52,0.52,0.52,0.52,0.36,0.66,0.66;0.05;9,21,36,52;1
prayer for workplace;1600;0.93;0.09;40400000;0.44,0.52,0.52,1.00,0.27,0.08,0.52,0.52,0.13,0.27,0.36,0.36;0.1;5,6,9,13,20,36,52;1
give it to god;1300;0.74;0.45;2600000000;0.29,0.36,0.29,0.36,0.36,0.22,0.29,0.36,0.29,0.22,0.22,0.22;0.05;5,6,9,36,45,52;1
hard time prayer for strength;1300;0;0.96;136000000;0.66,0.79,0.66,0.79,0.66,0.66,0.54,0.66,0.41,0.36,0.20,0.13;0.05;5,6,9,20,21,36,45,52;1
prayer before work;1300;1.56;0.01;788000000;0.68,0.68,0.68,1.00,0.68,0.68,0.84,0.68,0.84,1.00,0.68,0.68;0.05;9,13,20,36,45,52;1
prayer for stress;1300;0.17;0.18;105000000;0.68,0.84,1.00,1.00,0.84,0.52,0.68,0.68,0.84,0.84,0.68,0.52;0.1;9,36,52;1
prayer for a good day at work;880;0.03;0.01;152;0.76,0.45,0.55,0.67,0.67,0.76,1.00,0.67,0.76,0.76,0.67,0.67;0.05;6,9,21,36,52;1
prayer for calm;880;0.16;0.27;85500000;0.68,0.37,0.46,0.37,0.37,0.46,0.46,0.46,0.52,0.46,0.46,0.37;0.05;6,9,13,20,36,52;1
thinking of you prayer;720;0;0.79;305000000;0.88,0.72,0.88,0.72,0.88,0.88,0.72,0.88,0.72,0.72,0.59,0.72;0.1;5,6,9,13,52;1
prayer to god for help;590;0.43;0.12;337000000;0.31,0.16,0.37,0.37,0.16,0.25,0.46,0.16,0.31,0.31,0.25,0.31;0.05;5,6,9,13,20,36,52;1
prayer for hard times;480;0.21;0.51;183000000;0.48,0.59,0.59,0.48,0.48,0.48,0.48,0.59,0.59,0.48,0.48,0.32;0.05;5,9,36,38,52;1
prayer for success at work;480;0;0.01;133000000;0.59,0.59,0.59,0.59,0.59,0.39,0.48,0.39,0.48,0.48,0.39,0.39;0.05;5,6,9,36,52;1
prayers for stress;480;0.17;0.18;66000000;0.36,0.36,0.36,0.36,0.30,0.24,0.30,0.67,0.36,0.30,0.24,0.24;0.1;9,20,21,36,38,45,52;1
prayers for work;480;0.93;0.09;420000000;0.16,0.16,0.16,0.20,0.16,0.13,0.20,0.20,0.20,0.16,0.13,0.11;0.05;9,20,21,36,45,52;1
pray for anxiety;390;0.17;0.36;42100000;0.05,0.81,0.67,0.67,0.36,0.19,0.23,0.10,0.19,0.44,1.00,0.29;0.05;5,9,13,20,21,36,38,45,52;1
prayer for feeling overwhelmed;320;0.03;0.22;103;0.54,0.54,0.54,0.66,0.66,0.66,0.81,0.66,0.81,0.81,0.54,0.66;0.65;5,9,13,36,38,52;1
prayer for mental strength;320;0.41;0.24;34900000;0.66,0.54,0.66,0.35,0.35,0.54,0.66,0.54,0.44,0.54,0.44,0.35;0.05;6,9,20,21,36,52;1
prayer for overwhelmed;320;0.15;0.2;29500000;0.54,0.54,0.66,0.66,0.44,0.28,0.44,0.44,0.66,0.54,0.44,0.44;0.65;9,13,21,36,38,45,52;1
prayer for stress at work;320;0.86;0.07;58900000;0.36,0.44,0.54,0.66,0.44,0.44,0.54,0.44,0.44,0.54,0.29,0.23;0.05;6,9,20,21,36,45,52;1
prayer to feel better;320;0.25;0.77;168000000;0.54,0.44,0.54,0.36,0.29,0.36,0.36,0.44,0.36,0.36,0.44,0.36;0.15;5,9,13,21,36,45,52;1
workplace prayer;320;0;0;26300000;0.13,0.11,0.11,0.13,0.16,0.11,0.11,0.13,0.11,0.11,0.07,0.07;0.05;6,9,20,21,36,45,52;1
give us strength prayer;260;0.92;0.68;143000000;0.18,0.23,0.08,0.18,0.54,0.54,0.23,0.23,0.44,0.81,0.81,0.66;0.05;5,6,9,20,36,52;1
pray for good day at work;260;0.03;0.01;129;0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.72,0.01,0.00,0.00,0.00;0.05;6,9,20,21,36,45,52;1
prayer for anxiety and panic attacks;260;0;0;51;0.35,0.35,0.43,0.54,0.81,0.81,0.66,1.00,1.00,0.54,0.35,0.35;0.05;9,36,52;1
prayer for peace at work;260;0;0.01;140000000;0.53,0.53,0.82,0.82,0.66,0.82,0.82,0.82,0.66,0.66,0.53,0.82;0.05;6,9,20,21,38,52;1
prayer for work stress;260;0.86;0.07;113;0.54,0.35,0.54,0.43,0.43,0.43,0.54,0.81,0.81,0.81,0.54,0.18;0.05;6,9,21,36,45,52;1
prayer help;260;0.6;0.16;708000000;0.55,0.16,0.03,0.00,0.01,0.76,0.76,0.05,0.03,0.00,0.00,0.01;0.05;9,13,21,36,52;1
prayers for a good work day;260;0.03;0.01;140;0.04,0.02,0.14,0.54,0.81,0.66,0.81,0.66,0.54,0.81,0.35,0.43;0.05;9,20,21,36,38,45,52;1
prayers for anxiety and depression;260;1.12;0.28;5010000;0.20,0.16,0.16,0.16,0.16,0.24,0.20,0.30,0.30,0.24,0.24,0.20;0.05;5,6,9,13,36,52;1
praying meditation;260;1.43;0.12;100;0.14,0.14,0.32,0.59,0.21,0.11,0.14,0.17,0.32,0.39,0.26,0.21;0.05;5,9,20,36;1
short prayer for work;260;0;0.05;318000000;0.81,1.00,0.65,0.65,0.81,1.00,0.81,1.00,1.00,1.00,0.53,0.53;0.05;5,6,9,11,20,21,36;1
stress prayer;260;0.17;0.18;128000000;0.26,0.21,0.39,0.26,0.17,0.21,0.26,0.26,0.32,0.26,0.32,0.26;0.15;9,20,36,38,52;1
meditation prayers;210;1.43;0.12;28100000;0.16,0.13,0.13,0.10,0.10,0.55,0.08,0.00,0.10,0.06,0.05,0.05;0.05;9,13,20,21,36,45,52;1
pray before work;210;1.56;0.01;297000000;0.00,1.00,0.00,0.00,0.30,0.13,0.00,0.36,0.00,0.00,0.00,0.00;0.1;5,9,13,20,21,36,45,52;1
prayer for stress relief;210;0.16;0.35;22700000;0.81,0.81,1.00,0.43,0.53,0.53,0.53,0.53,0.53,0.65,0.53,0.43;0.05;5,6,9,20,21,36,38,45,52;1
prayer for worry and stress;210;0.17;0.38;17100000;0.54,0.43,0.43,0.35,0.29,0.29,0.43,0.81,0.54,0.43,0.43,0.54;0.05;5,9,15,20,36,38,45,51,52;1
prayers for work stress;210;0.86;0.07;138;0.23,0.29,0.29,0.29,0.23,0.23,0.29,0.36,0.29,0.44,0.36,0.23;0.1;5,6,9,20,36,38,52;1
prayers for workplace;210;0.93;0.09;609000000;0.20,0.24,0.08,0.02,0.01,0.02,0.08,0.01,0.08,0.08,0.05,0.03;0.05;5,9,36,52;1
7 calming verses for when life feels overwhelming;170;0.16;0.19;1620000;0.53,0.82,0.53,0.23,0.35,0.35,0.23,0.17,0.35,0.43,0.43,0.28;0.05;6,9,20,36,52;1
christian prayer before work;170;1.56;0.01;221000000;0.10,0.04,0.05,0.13,0.16,0.45,0.03,0.05,0.06,0.06,0.20,0.04;0.05;5,9,13,20,21,36,45,52;1
dear lord help me;170;0.65;0.13;105;0.80,0.65,0.65,0.65,0.65,0.53,0.42,0.53,0.65,0.53,0.53,0.53;0.05;5,6,9,13,20,21,36,52;1
prayer for being overwhelmed;170;0.15;0.11;18500000;0.80,0.53,0.53,0.65,0.65,0.53,0.53,0.80,1.00,0.65,0.65,0.53;0.7;9,13,20,36,38,52;1
prayer for peace in the workplace;170;0;0.01;132;0.34,0.21,0.34,0.43,0.53,0.65,0.34,0.81,0.53,0.65,0.65,1.00;0.05;6,9,20,21,36,38,52;1
prayer when you feel overwhelmed;170;0.17;0.35;14100000;0.65,1.00,1.00,0.65,0.65,0.80,0.65,0.53,0.53,0.65,0.65,0.53;0.5;5,9,13,20,36,38,52;1
relief prayer;170;0;0;110000000;0.35,0.54,0.22,0.43,0.02,0.66,0.29,0.29,0.66,0.22,0.04,0.22;0.05;5,9,13,20,21,36,52;1
short prayer for workers;170;0;0.05;362000000;0.23,0.53,0.17,0.28,0.53,0.82,0.35,0.28,1.00,0.53,0.53,0.17;0.05;5,9,36,52;1
a prayer for stress;140;0.25;0.46;75900000;0.43,0.35,0.43,0.35,0.35,0.28,0.28,0.28,0.43,0.28,0.28,0.28;0.05;9,13,20,21,36,38,45,52;1
catholic prayer for work;140;0;0.06;122000000;0.53,0.53,0.42,0.34,0.53,0.42,0.42,0.53,0.53,0.53,0.42,0.53;0.05;6,9,20,36,38,45,52;1
give a prayer;140;0.42;0.21;112;0.52,0.80,1.00,0.52,0.42,0.52,0.42,0.52,0.66,1.00,0.80,1.00;0.05;5,6,9,20,21,36,52;1
