Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
bible anger scriptures;4400;0.01;0.18;127;0.02,1.00,1.00,1.00,1.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00;0.5;9,15,20,21,36,38,51,52;1
bible verses about anger;4400;0.01;0.18;126;0.35,0.54,0.54,0.44,0.54,0.35,0.44,0.44,1.00,0.66,0.81,0.81;0.55;9,21,36,52;1
anger in the bible;3600;0.01;0.18;117;1.00,0.44,0.29,0.19,0.35,0.29,0.66,0.44,0.35,0.54,0.19,0.44;0.2;9,15,21,36,51,52;1
what does the bible say about anger;2900;0.02;0.19;151;1.00,0.80,1.00,0.80,0.80,0.66,1.00,0.80,0.80,0.66,0.80,0.66;0.3;9,21,36,45,52;1
scriptures on anger;1900;0.02;0.23;15100000;0.36,0.80,0.66,0.52,0.52,0.52,0.44,0.52,0.52,0.44,0.52,0.24;0.55;9,21,36,45,52;1
verse about anger;1900;0.01;0.18;131;0.43,0.43,0.54,0.36,0.43,0.29,0.36,0.43,0.65,0.81,0.43,0.43;0.5;9,21,36,45,52;1
anger bible scriptures;1600;0.01;0.18;10200000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.81,1.00,0.00,0.03;0.45;6,9,20,21,36,52;1
bible verse feeling down;1600;0.01;0.17;128;0.00,1.00,0.00,0.00,0.53,1.00,0.00,0.00,0.00,0.00,0.81,0.00;0.05;9,20,36,45,52;1
bible verse about anger;1300;0.01;0.13;23400000;0.29,0.29,0.22,0.22,0.29,0.29,0.10,0.29,0.36,0.29,0.22,0.22;0.55;6,9,36,52;1
bible verses on anger;1300;0.01;0.18;17800000;0.35,0.18,0.16,0.16,0.16,0.18,0.13,0.24,0.53,0.18,0.18,0.44;0.55;6,9,36,52;1
angry how to control;1000;0.89;0.5;725000000;0.10,0.81,0.81,1.00,0.81,1.00,0.06,0.45,0.62,0.62,0.62,0.62;0.05;6,9,20,36,38,45,52;1
be slow to anger bible verse;1000;3.81;0;4240000;0.62,0.55,0.81,0.62,0.55,0.62,0.81,0.81,0.81,0.62,0.55,0.55;0.05;6,9,15,20,36,51,52;1
bitterness and the bible;1000;0.01;0.05;134;1.00,0.76,1.00,0.76,0.76,0.67,0.76,0.76,0.76,1.00,0.76,0.67;0.05;9,20,21,36,52;1
bitterness in the bible;1000;0.01;0.05;138;0.81,0.81,0.81,0.62,0.62,0.62,0.62,0.81,0.62,0.81,0.81,0.55;0.05;9,20,36,52;1
verses about anger;1000;0.01;0.21;145;0.16,0.41,0.13,0.66,0.41,0.30,0.66,0.54,0.41,0.54,0.41,0.30;0.55;9,36,52;1
what does god say about anger;1000;0.02;0.19;204000000;0.44,0.44,0.44,0.30,0.44,0.34,0.24,0.30,0.34,0.24,0.24,0.20;0.4;9,20,36,38,52;1
anger bible verse;880;0.01;0.18;16300000;0.03,0.20,0.20,0.20,0.27,0.20,0.20,0.27,0.66,0.24,0.27,0.24;0.45;9,21,36,45,52;1
bible quotes about anger;880;0.01;0.18;126;0.07,0.05,0.54,0.10,0.24,0.07,0.08,0.07,0.08,0.05,0.01,0.24;0.6;5,6,9,13,36,52;1
bible quotes about marriage problems;880;0.03;0.26;157;0.20,0.08,0.06,1.00,0.81,1.00,0.06,0.30,1.00,0.81,1.00,0.62;0.05;6,9,36,45,52;1
bible verses for anger;880;0.01;0.18;149;0.10,0.24,0.30,1.00,0.16,0.36,0.24,0.41,0.54,0.36,0.30,0.41;0.6;9,36,52;1
bible verses on marriage problems;880;0.03;0.26;7000000;0.76,0.55,0.67,0.67,0.67,0.67,0.67,0.67,0.76,0.76,0.76,0.67;0.1;6,9,13,20,36,45,52;1
hate verses in bible;880;0.01;0.01;20700000;0.05,0.01,0.44,0.01,0.44,0.55,0.03,0.24,1.00,0.44,0.07,0.03;0.05;6,9,20,36,52;1
how to control ones anger;880;1.43;0.54;222000000;0.07,0.65,0.00,1.00,0.13,0.20,0.01,0.24,0.44,0.44,0.00,0.03;0.05;6,9,20,36,38,45,52;1
how to stop being angry;880;1.08;0.48;749000000;1.00,0.76,0.76,0.76,0.76,0.55,0.67,0.67,0.55,0.55,0.67,0.55;0.05;6,9,36,45,52;1
what does it say in the bible about anger;880;0.02;0.19;154;0.00,0.00,0.00,1.00,0.66,0.66,0.00,0.00,0.00,0.00,0.66,0.00;0.4;9,21,36,38,52;1
bible verse for anger;720;0.01;0.18;21700000;0.07,0.08,0.03,0.07,0.20,0.36,0.13,0.65,0.13,0.16,0.08,0.08;0.6;6,9,20,36,52;1
bible verses about bitterness;720;0.01;0.03;124;0.30,0.76,0.55,0.55,0.55,0.45,0.45,0.55,1.00,0.45,0.55,0.36;0.05;9,21,36,52;1
bible verses about controlling anger;720;0.03;0.15;147;0.55,0.45,0.62,0.62,0.45,0.45,0.55,0.36,0.36,0.45,0.45,0.45;0.5;6,9,36,52;1
bible verses about trouble in relationships;720;0.01;0.07;21100000;0.13,1.00,1.00,0.45,0.67,0.45,0.13,0.45,0.76,0.55,0.55,0.36;0.05;6,9,20,21,36,45,52;1
prayer for anger;720;0.25;0.06;127;0.37,0.37,0.52,0.37,0.46,0.25,0.37,0.52,0.52,0.52,0.31,0.25;0.05;5,9,36,52;1
