Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Keywords SERP Features;Intent
philippians 4 6-7;49500;0.41;0.15;5100000;1.00,0.81,0.81,0.81,1.00,0.81,1.00,1.00,1.00,1.00,1.00,0.81;0.05;9,20,21,36,38,52;1
philippians 4:6-7;33100;0.41;0.15;3630000;1.00,0.66,0.54,0.66,0.81,0.66,0.81,0.81,0.81,0.81,0.81,0.66;0.05;9,15,20,21,36,38,52;1
anxiety biblical verses;18100;0.02;0.46;131;0.00,1.00,0.66,1.00,0.00,0.36,0.00,0.03,0.36,0.20,0.66,0.54;0.1;9,21,36,38,52;1
bible verses for anxiety;14800;0.02;0.46;130;0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.66,0.54,0.54,0.44,0.44;0.05;9,21,36,38,52;1
philippians 4 6;14800;0.44;0.07;135;0.66,0.81,0.81,0.66,0.81,0.54,0.66,0.81,0.66,0.54,0.54,0.66;0.05;5,6,9,21,36,51,52;1
bible verses about anxiety;9900;0.02;0.46;147;0.54,0.66,0.54,0.54,0.54,0.44,0.44,0.44,0.66,0.54,0.54,0.54;0.1;6,9,21,36,52;1
do not be anxious about anything;9900;0.02;0.4;128;0.81,0.81,0.81,1.00,1.00,0.81,1.00,0.81,1.00,1.00,1.00,0.81;0.05;9,21,36,52;1
philippians 4 6 7;9900;0.41;0.15;131;0.16,0.29,0.01,0.02,0.02,0.01,0.02,0.03,0.20,0.10,1.00,0.13;0.05;9,21,36,38,52;1
verses about nervousness;9900;0.02;0.54;132;0.00,0.66,1.00,0.66,0.44,0.44,0.00,0.05,0.00,0.54,0.66,0.01;0.1;9,13,20,21,36,52;1
comforting bible verses;8100;0.01;0.7;186;0.54,0.81,0.36,0.44,0.36,0.29,0.24,0.24,0.81,0.54,0.66,0.81;0.05;5,6,9,13,21,36,52;1
bible scripture for nervousness;6600;0.02;0.46;128;0.00,0.00,0.66,1.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00;0.1;6,9,21,36,52;1
phillipians 4:6;6600;0.44;0.07;135;0.66,0.44,0.44,0.36,0.44,0.29,0.36,0.36,0.36,1.00,0.36,0.29;0.1;9,21,36,38,52;1
phillipians 4:6-7;5400;0.41;0.15;305;0.24,0.44,0.29,0.24,0.29,0.16,0.19,0.24,0.29,0.66,0.44,0.19;0.05;9,20,21,36,38,52;1
scripture for anxiety;5400;0.02;0.54;124;0.19,0.19,0.44,0.44,0.36,0.66,0.36,0.36,0.44,0.44,0.54,0.54;0.05;9,15,21,36,51,52;1
bible verse about anxiety;4400;0.02;0.46;134;0.44,0.54,0.66,1.00,0.54,0.44,0.54,0.54,0.54,0.54,0.44,0.35;0.1;9,21,36,38,52;1
